"","打鍵回数","左クリック","右クリック"
"2013年02月04日09時40分","11","14","1"
"2013年02月04日09時45分","18","74","8"
"2013年02月04日09時50分","17","6","0"
"2013年02月04日09時55分","0","0","0"
"2013年02月04日10時00分","0","0","0"
"2013年02月04日10時05分","16","33","0"
"2013年02月04日10時10分","5","34","0"
"2013年02月04日10時15分","0","44","1"
"2013年02月04日10時20分","6","56","1"
"2013年02月04日10時25分","5","24","1"
"2013年02月04日10時30分","38","80","2"
"2013年02月04日10時35分","87","87","2"
"2013年02月04日10時40分","32","131","10"
"2013年02月04日10時45分","4","41","0"
"2013年02月04日10時50分","171","71","0"
"2013年02月04日10時55分","3","52","1"
"2013年02月04日11時00分","2","53","6"
"2013年02月04日11時05分","7","12","0"
"2013年02月04日11時10分","0","0","0"
"2013年02月04日11時15分","0","21","0"
"2013年02月04日11時20分","5","15","0"
"2013年02月04日11時25分","0","6","0"
"2013年02月04日11時30分","39","36","1"
"2013年02月04日11時35分","116","118","2"
"2013年02月04日11時40分","3","93","0"
"2013年02月04日11時45分","146","92","18"
"2013年02月04日11時50分","181","78","6"
"2013年02月04日11時55分","10","18","0"
"2013年02月04日12時00分","26","40","0"
"2013年02月04日12時05分","6","39","1"
"2013年02月04日12時10分","27","35","1"
"2013年02月04日12時15分","109","101","4"
"2013年02月04日12時20分","4","83","3"
"2013年02月04日12時25分","0","0","0"
"2013年02月04日12時30分","0","0","0"
"2013年02月04日12時35分","9","68","1"
"2013年02月04日12時40分","156","74","0"
"2013年02月04日12時45分","45","5","0"
"2013年02月04日12時50分","0","0","0"
"2013年02月04日12時55分","0","0","0"
"2013年02月04日13時00分","0","0","0"
"2013年02月04日13時05分","0","0","0"
"2013年02月04日13時10分","0","0","0"
"2013年02月04日13時15分","0","0","0"
"2013年02月04日13時20分","0","0","0"
"2013年02月04日13時25分","0","0","0"
"2013年02月04日13時30分","0","3","0"
"2013年02月04日13時35分","6","90","9"
"2013年02月04日13時40分","0","48","2"
"2013年02月04日13時45分","2","16","0"
"2013年02月04日13時50分","1","18","0"
"2013年02月04日13時55分","27","100","2"
"2013年02月04日14時00分","123","88","2"
"2013年02月04日14時05分","32","32","0"
"2013年02月04日14時10分","3","91","6"
"2013年02月04日14時15分","55","60","0"
"2013年02月04日14時20分","60","33","1"
"2013年02月04日14時25分","0","11","1"
"2013年02月04日14時30分","12","91","4"
"2013年02月04日14時35分","0","85","0"
"2013年02月04日14時40分","45","87","0"
"2013年02月04日14時45分","35","89","0"
"2013年02月04日14時50分","100","118","1"
"2013年02月04日14時55分","13","79","1"
"2013年02月04日15時00分","2","1","0"
"2013年02月04日15時05分","0","1","0"
"2013年02月04日15時10分","57","61","4"
"2013年02月04日15時15分","33","59","2"
"2013年02月04日15時20分","68","98","1"
"2013年02月04日15時25分","177","74","2"
"2013年02月04日15時30分","91","160","0"
"2013年02月04日15時35分","55","135","2"
"2013年02月04日15時40分","1","32","0"
"2013年02月04日15時45分","2","24","0"
"2013年02月04日15時50分","5","20","0"
"2013年02月04日15時55分","0","0","0"
"2013年02月04日16時00分","0","0","0"
"2013年02月04日16時05分","0","0","0"
"2013年02月04日16時10分","0","0","0"
"2013年02月04日16時15分","0","0","0"
"2013年02月04日16時20分","0","0","0"
"2013年02月04日16時25分","39","21","0"
"2013年02月04日16時30分","113","137","15"
"2013年02月04日16時35分","164","16","0"
"2013年02月04日16時40分","11","25","0"
"2013年02月04日16時45分","61","80","0"
"2013年02月04日16時50分","5","63","1"
"2013年02月04日16時55分","0","21","0"
"2013年02月04日17時00分","0","12","0"
"2013年02月04日17時05分","4","39","0"
"2013年02月04日17時10分","22","61","5"
"2013年02月04日17時15分","34","11","0"
"2013年02月04日17時20分","16","54","5"
"2013年02月04日17時25分","24","51","4"
"2013年02月04日17時30分","41","89","3"
"2013年02月04日17時35分","2","13","0"
"2013年02月04日17時40分","0","9","0"
"2013年02月04日17時45分","47","20","0"
"2013年02月04日17時50分","42","17","0"
"2013年02月04日17時55分","51","62","0"
"2013年02月04日18時00分","0","18","0"
"2013年02月04日18時05分","23","80","0"
"2013年02月04日18時10分","31","124","6"
"2013年02月04日18時15分","2","3","0"
"2013年02月04日18時20分","4","21","0"
