Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
FileOperation,20130206:100800,20130206:100805,4,0,1
Word&Powerpoint,20130206:100805,20130206:100806,0,0,0
Word&Powerpoint,20130206:100806,20130206:100819,3,0,0
FileOperation,20130206:100819,20130206:100820,0,0,0
Excel,20130206:100820,20130206:100838,9,2,14
Word&Powerpoint,20130206:100838,20130206:100844,0,0,2
Excel,20130206:100844,20130206:100850,2,0,8
Word&Powerpoint,20130206:100850,20130206:100852,0,0,2
Excel,20130206:100852,20130206:100854,0,0,5
FileOperation,20130206:100854,20130206:100856,0,0,2
Word&Powerpoint,20130206:100856,20130206:100906,0,0,2
Excel,20130206:100906,20130206:100911,1,0,8
Word&Powerpoint,20130206:100911,20130206:100913,0,0,2
Excel,20130206:100913,20130206:100915,0,0,5
FileOperation,20130206:100915,20130206:100916,0,0,2
Word&Powerpoint,20130206:100916,20130206:100920,2,0,0
Excel,20130206:100920,20130206:100921,0,0,2
FileOperation,20130206:100921,20130206:100924,2,0,1
Excel,20130206:100924,20130206:100936,3,1,2
Excel,20130206:100936,20130206:100943,1,0,9
Excel,20130206:100943,20130206:100946,0,0,3
Excel,20130206:100946,20130206:100951,0,0,7
Excel,20130206:100951,20130206:100952,1,0,0
Excel,20130206:100952,20130206:100953,0,0,1
FileOperation,20130206:100953,20130206:100954,0,0,1
FileOperation,20130206:100954,20130206:100955,1,0,2
FileOperation,20130206:100955,20130206:100957,2,0,0
FileOperation,20130206:100957,20130206:100958,1,0,1
Excel,20130206:100958,20130206:100959,0,0,0
Excel,20130206:100959,20130206:101001,0,0,2
Excel,20130206:101001,20130206:101002,0,0,0
Excel,20130206:101002,20130206:101006,1,0,7
FileOperation,20130206:101006,20130206:101007,0,0,2
Excel,20130206:101007,20130206:101009,1,0,0
Excel,20130206:101009,20130206:101010,0,0,2
FileOperation,20130206:101010,20130206:101013,4,0,0
FileOperation,20130206:101013,20130206:101017,4,0,0
FileOperation,20130206:101017,20130206:101021,1,0,0
Email,20130206:101021,20130206:101023,2,0,0
Email,20130206:101023,20130206:101025,2,0,0
FileOperation,20130206:101025,20130206:101028,2,0,1
Excel,20130206:101028,20130206:101030,0,0,2
Excel,20130206:101030,20130206:101031,0,0,2
Excel,20130206:101031,20130206:101034,0,0,2
Excel,20130206:101034,20130206:101040,1,0,9
Excel,20130206:101040,20130206:101041,1,0,0
Excel,20130206:101041,20130206:101042,0,0,1
FileOperation,20130206:101042,20130206:101043,0,0,3
Excel,20130206:101043,20130206:101044,0,0,2
FileOperation,20130206:101044,20130206:101046,1,0,1
Word&Powerpoint,20130206:101046,20130206:101047,0,0,0
Word&Powerpoint,20130206:101047,20130206:101054,0,0,1
FileOperation,20130206:101054,20130206:101055,0,0,1
FileOperation,20130206:101055,20130206:101056,0,0,2
Word&Powerpoint,20130206:101056,20130206:101057,1,0,0
FileOperation,20130206:101057,20130206:101059,1,0,0
Excel,20130206:101059,20130206:101106,1,0,8
Word&Powerpoint,20130206:101106,20130206:101110,0,0,4
Excel,20130206:101110,20130206:101112,0,0,5
FileOperation,20130206:101112,20130206:101113,0,0,4
Word&Powerpoint,20130206:101113,20130206:101115,1,0,0
Word&Powerpoint,20130206:101115,20130206:101116,1,0,0
Excel,20130206:101116,20130206:101123,1,0,7
FileOperation,20130206:101123,20130206:101125,0,0,1
Word&Powerpoint,20130206:101125,20130206:101126,0,0,0
Word&Powerpoint,20130206:101126,20130206:101135,0,0,2
FileOperation,20130206:101135,20130206:101136,0,0,3
Excel,20130206:101136,20130206:101141,1,0,8
FileOperation,20130206:101141,20130206:101142,0,0,3
Excel,20130206:101142,20130206:101143,0,0,1
FileOperation,20130206:101143,20130206:101144,0,0,3
Word&Powerpoint,20130206:101144,20130206:101146,0,0,1
FileOperation,20130206:101146,20130206:101147,0,0,1
Excel,20130206:101147,20130206:101153,0,0,8
Word&Powerpoint,20130206:101153,20130206:101154,0,0,2
Excel,20130206:101154,20130206:101158,0,0,7
Word&Powerpoint,20130206:101158,20130206:101159,1,0,0
Word&Powerpoint,20130206:101159,20130206:101200,0,0,1
FileOperation,20130206:101200,20130206:101202,1,0,3
FileOperation,20130206:101202,20130206:101204,0,0,2
FileOperation,20130206:101204,20130206:101209,5,0,0
FileOperation,20130206:101209,20130206:101211,2,0,1
