User,WorkingHour_SECOND,WorkingHour_MINUTE
fg,32708,545
ht,50996,849
iu,38375,639
kt,95690,1594
lu,68821,1147
Mk,56815,946
nm,28551,475
si,69880,1164
sk,58946,982
so,91807,1530
std,62591,1043
sty,42351,705
yg,32621,543
