"","打鍵回数","左クリック","右クリック"
"2013年02月06日11時10分","112","0","0"
"2013年02月06日11時15分","7","0","0"
"2013年02月06日11時20分","1","0","0"
"2013年02月06日11時25分","256","0","0"
"2013年02月06日11時30分","36","0","0"
"2013年02月06日11時35分","0","0","0"
"2013年02月06日11時40分","108","0","0"
"2013年02月06日11時45分","0","0","0"
"2013年02月06日11時50分","0","0","0"
"2013年02月06日11時55分","0","0","0"
"2013年02月06日12時00分","0","0","0"
"2013年02月06日12時05分","0","0","0"
"2013年02月06日12時10分","0","0","0"
"2013年02月06日12時15分","0","0","0"
"2013年02月06日12時20分","0","0","0"
"2013年02月06日12時25分","0","0","0"
"2013年02月06日12時30分","0","0","0"
"2013年02月06日12時35分","0","0","0"
"2013年02月06日12時40分","0","0","0"
"2013年02月06日12時45分","0","0","0"
"2013年02月06日12時50分","0","0","0"
"2013年02月06日12時55分","0","0","0"
"2013年02月06日13時00分","0","0","0"
"2013年02月06日13時05分","10","0","0"
"2013年02月06日13時10分","3","0","0"
"2013年02月06日13時15分","21","0","0"
"2013年02月06日13時20分","68","0","0"
"2013年02月06日13時25分","79","0","0"
"2013年02月06日13時30分","9","0","0"
"2013年02月06日13時35分","60","0","0"
"2013年02月06日13時40分","90","0","0"
"2013年02月06日13時45分","11","0","0"
"2013年02月06日13時50分","0","0","0"
"2013年02月06日13時55分","10","0","0"
"2013年02月06日14時00分","0","0","0"
"2013年02月06日14時05分","3","0","0"
"2013年02月06日14時10分","22","0","0"
"2013年02月06日14時15分","85","0","0"
"2013年02月06日14時20分","69","0","0"
"2013年02月06日14時30分","43","0","0"
"2013年02月06日14時35分","2","0","0"
"2013年02月06日14時40分","0","0","0"
"2013年02月06日14時45分","0","0","0"
"2013年02月06日14時50分","3","0","0"
"2013年02月06日14時55分","0","0","0"
"2013年02月06日15時00分","0","0","0"
"2013年02月06日15時05分","3","0","0"
"2013年02月06日15時10分","43","0","0"
"2013年02月06日15時15分","2","0","0"
"2013年02月06日15時20分","0","0","0"
"2013年02月06日15時25分","150","0","0"
"2013年02月06日15時30分","94","0","0"
"2013年02月06日15時35分","41","0","0"
"2013年02月06日15時40分","73","0","0"
"2013年02月06日15時45分","7","0","0"
"2013年02月06日15時50分","0","0","0"
"2013年02月06日15時55分","0","0","0"
"2013年02月06日16時00分","1","0","0"
"2013年02月06日16時05分","26","0","0"
"2013年02月06日16時10分","6","0","0"
"2013年02月06日16時15分","15","0","0"
"2013年02月06日16時20分","0","0","0"
"2013年02月06日16時25分","5","0","0"
"2013年02月06日16時30分","15","0","0"
"2013年02月06日16時35分","12","0","0"
"2013年02月06日16時40分","2","0","0"
"2013年02月06日16時45分","0","0","0"
"2013年02月06日16時50分","0","0","0"
"2013年02月06日16時55分","0","0","0"
"2013年02月06日17時00分","5","0","0"
"2013年02月06日17時05分","29","0","0"
"2013年02月06日17時10分","2","0","0"
"2013年02月06日17時15分","12","0","0"
"2013年02月06日17時20分","37","0","0"
"2013年02月06日17時25分","15","0","0"
"2013年02月06日17時30分","0","0","0"
"2013年02月06日17時35分","0","0","0"
"2013年02月06日17時40分","40","0","0"
"2013年02月06日17時45分","229","0","0"
"2013年02月06日17時50分","104","0","0"
"2013年02月06日17時55分","0","0","0"
"2013年02月06日18時00分","0","0","0"
"2013年02月06日18時05分","24","0","0"
"2013年02月06日18時10分","73","0","0"
"2013年02月06日18時15分","201","0","0"
"2013年02月06日18時20分","140","0","0"
"2013年02月06日18時25分","145","0","0"
"2013年02月06日18時30分","256","0","0"
"2013年02月06日18時35分","171","0","0"
"2013年02月06日18時40分","189","0","0"
"2013年02月06日18時45分","110","0","0"
"2013年02月06日18時50分","258","0","0"
"2013年02月06日18時55分","56","0","0"
"2013年02月06日19時00分","25","0","0"
"2013年02月06日19時05分","13","0","0"
"2013年02月06日19時10分","33","0","0"
"2013年02月06日19時15分","54","0","0"
"2013年02月06日19時20分","147","0","0"
"2013年02月06日19時25分","2","0","0"
"2013年02月06日19時30分","5","0","0"
"2013年02月06日19時35分","0","0","0"
"2013年02月06日19時40分","0","0","0"
"2013年02月06日19時45分","0","0","0"
"2013年02月06日19時50分","15","0","0"
"2013年02月06日19時55分","0","0","0"
"2013年02月06日20時00分","0","0","0"
"2013年02月06日20時05分","0","0","0"
"2013年02月06日20時10分","0","0","0"
"2013年02月06日20時15分","0","0","0"
"2013年02月06日20時20分","2","0","0"
"2013年02月06日20時25分","0","0","0"
"2013年02月06日20時30分","0","0","0"
"2013年02月06日20時35分","45","0","0"
"2013年02月06日20時40分","153","0","0"
"2013年02月06日20時45分","13","0","0"
"2013年02月06日20時50分","23","0","0"
"2013年02月06日20時55分","41","0","0"
"2013年02月06日21時00分","0","0","0"
"2013年02月06日21時05分","0","0","0"
"2013年02月06日21時10分","0","0","0"
"2013年02月06日21時15分","31","0","0"
"2013年02月06日21時20分","13","0","0"
"2013年02月06日21時25分","0","0","0"
"2013年02月06日21時30分","0","0","0"
"2013年02月06日21時35分","0","0","0"
"2013年02月06日21時40分","0","0","0"
"2013年02月06日21時45分","0","0","0"
"2013年02月06日21時50分","0","0","0"
"2013年02月06日21時55分","37","0","0"
"2013年02月06日22時00分","9","0","0"
"2013年02月06日22時05分","274","0","0"
"2013年02月06日22時10分","315","0","0"
"2013年02月06日22時15分","99","0","0"
"2013年02月06日22時20分","97","0","0"
"2013年02月06日22時25分","114","0","0"
"2013年02月06日22時30分","454","0","0"
"2013年02月06日22時35分","381","0","0"
"2013年02月06日22時40分","16","0","0"
"2013年02月06日22時45分","76","0","0"
"2013年02月06日22時50分","109","0","0"
"2013年02月06日22時55分","83","0","0"
"2013年02月06日23時00分","65","0","0"
"2013年02月06日23時05分","1","0","0"
"2013年02月06日23時10分","160","0","0"
"2013年02月06日23時15分","75","0","0"
"2013年02月06日23時20分","0","0","0"
"2013年02月07日09時00分","28","0","0"
"2013年02月07日09時05分","2","0","0"
"2013年02月07日09時10分","0","0","0"
"2013年02月07日09時15分","23","0","0"
"2013年02月07日09時20分","7","0","0"
"2013年02月07日09時25分","34","0","0"
"2013年02月07日09時30分","0","0","0"
"2013年02月07日09時35分","0","0","0"
"2013年02月07日09時40分","2","0","0"
"2013年02月07日09時45分","55","0","0"
"2013年02月07日09時50分","0","0","0"
"2013年02月07日09時55分","0","0","0"
"2013年02月07日10時00分","0","0","0"
"2013年02月07日10時05分","0","0","0"
"2013年02月07日10時10分","0","0","0"
"2013年02月07日10時15分","0","0","0"
"2013年02月07日10時20分","0","0","0"
"2013年02月07日10時25分","0","0","0"
"2013年02月07日10時30分","0","0","0"
"2013年02月07日10時35分","0","0","0"
"2013年02月07日10時40分","0","0","0"
"2013年02月07日10時45分","0","0","0"
"2013年02月07日10時50分","10","0","0"
"2013年02月07日10時55分","0","0","0"
"2013年02月07日11時00分","2","0","0"
"2013年02月07日11時05分","0","0","0"
"2013年02月07日11時10分","0","0","0"
"2013年02月07日11時15分","0","0","0"
"2013年02月07日11時20分","0","0","0"
"2013年02月07日11時25分","0","0","0"
"2013年02月07日11時30分","0","0","0"
"2013年02月07日11時35分","0","0","0"
"2013年02月07日11時40分","0","0","0"
"2013年02月07日11時45分","0","0","0"
"2013年02月07日11時50分","0","0","0"
"2013年02月07日11時55分","0","0","0"
"2013年02月07日12時00分","0","0","0"
"2013年02月07日12時05分","0","0","0"
"2013年02月07日12時10分","0","0","0"
"2013年02月07日12時15分","0","0","0"
"2013年02月07日12時20分","7","0","0"
"2013年02月07日12時25分","0","0","0"
"2013年02月07日12時30分","0","0","0"
"2013年02月07日12時35分","2","0","0"
"2013年02月07日12時40分","0","0","0"
"2013年02月07日12時45分","0","0","0"
"2013年02月07日12時50分","0","0","0"
"2013年02月07日12時55分","0","0","0"
"2013年02月07日13時00分","0","0","0"
"2013年02月07日13時05分","0","0","0"
"2013年02月07日13時10分","0","0","0"
"2013年02月07日13時15分","0","0","0"
"2013年02月07日13時20分","0","0","0"
"2013年02月07日13時25分","0","0","0"
"2013年02月07日13時30分","0","0","0"
"2013年02月07日13時35分","17","0","0"
"2013年02月07日13時40分","35","0","0"
"2013年02月07日13時45分","78","0","0"
"2013年02月07日13時50分","32","0","0"
"2013年02月07日13時55分","5","0","0"
"2013年02月07日14時00分","0","0","0"
"2013年02月07日14時05分","0","0","0"
"2013年02月07日14時10分","0","0","0"
"2013年02月07日14時15分","0","0","0"
"2013年02月07日14時20分","0","0","0"
"2013年02月07日14時25分","10","0","0"
"2013年02月07日14時30分","2","0","0"
"2013年02月07日14時35分","0","0","0"
"2013年02月07日14時40分","0","0","0"
"2013年02月07日14時45分","0","0","0"
"2013年02月07日14時50分","5","0","0"
"2013年02月07日14時55分","21","0","0"
"2013年02月07日15時00分","18","0","0"
"2013年02月07日15時05分","9","0","0"
"2013年02月07日15時10分","83","0","0"
"2013年02月07日15時15分","101","0","0"
"2013年02月07日15時20分","61","0","0"
"2013年02月07日15時25分","12","0","0"
"2013年02月07日15時30分","92","0","0"
"2013年02月07日15時35分","0","0","0"
"2013年02月07日15時40分","1","0","0"
"2013年02月07日15時45分","0","0","0"
"2013年02月07日15時50分","219","0","0"
"2013年02月07日15時55分","326","0","0"
"2013年02月07日16時00分","590","0","0"
"2013年02月07日16時05分","284","0","0"
"2013年02月07日16時10分","0","0","0"
"2013年02月07日16時15分","16","0","0"
"2013年02月07日16時20分","77","0","0"
"2013年02月07日16時25分","150","0","0"
"2013年02月07日16時30分","468","0","0"
"2013年02月07日16時35分","636","0","0"
"2013年02月07日16時40分","116","0","0"
"2013年02月07日16時45分","0","0","0"
"2013年02月07日16時50分","0","0","0"
"2013年02月07日16時55分","0","0","0"
"2013年02月07日17時00分","0","0","0"
"2013年02月07日17時05分","59","0","0"
"2013年02月07日17時10分","0","0","0"
"2013年02月07日17時15分","0","0","0"
"2013年02月07日17時20分","38","0","0"
"2013年02月07日17時25分","50","0","0"
"2013年02月07日17時30分","12","0","0"
"2013年02月07日17時35分","32","0","0"
"2013年02月07日17時40分","2","0","0"
"2013年02月07日17時45分","15","0","0"
"2013年02月07日17時50分","114","0","0"
"2013年02月07日17時55分","39","0","0"
"2013年02月07日18時00分","0","0","0"
"2013年02月07日18時05分","0","0","0"
"2013年02月07日18時10分","31","0","0"
"2013年02月07日18時15分","43","0","0"
"2013年02月07日18時20分","0","0","0"
"2013年02月07日18時25分","34","0","0"
"2013年02月07日18時30分","17","0","0"
"2013年02月07日18時35分","138","0","0"
"2013年02月07日18時40分","0","0","0"
"2013年02月07日18時45分","0","0","0"
"2013年02月07日18時50分","0","0","0"
"2013年02月07日18時55分","3","0","0"
"2013年02月07日19時00分","70","0","0"
"2013年02月07日19時05分","20","0","0"
"2013年02月07日19時10分","2","0","0"
"2013年02月07日19時15分","16","0","0"
"2013年02月07日19時20分","8","0","0"
"2013年02月07日19時25分","7","0","0"
"2013年02月07日19時30分","8","0","0"
"2013年02月07日19時35分","45","0","0"
"2013年02月07日19時40分","3","0","0"
"2013年02月07日19時45分","2","0","0"
