User,WorkingHour_SECOND,WorkingHour_MINUTE
fg,109864,1831
ht,154051,2567
iu,112128,1868
kt,95690,1594
lu,70310,1171
Mk,124681,2078
nm,76145,1269
si,38551,642
sk,126439,2107
so,191206,3186
std,133879,2231
sty,92950,1549
yg,93477,1557
