"","打鍵回数","左クリック","右クリック"
"2013年02月05日22時10分","0","0","0"
"2013年02月05日22時15分","0","0","0"
"2013年02月05日22時20分","0","0","0"
"2013年02月05日22時25分","2","0","0"
"2013年02月05日22時30分","72","0","0"
"2013年02月05日22時35分","0","0","0"
"2013年02月05日22時40分","0","0","0"
"2013年02月05日22時45分","0","0","0"
"2013年02月05日22時50分","10","0","0"
"2013年02月05日22時55分","5","0","0"
"2013年02月05日23時00分","0","0","0"
"2013年02月05日23時05分","0","0","0"
"2013年02月05日23時10分","1","0","0"
"2013年02月05日23時15分","90","0","0"
