"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月05日18時30分","0","0","0","5","0","0","0","0","0","51","0"
"2013年02月05日18時35分","0","0","17","8","0","0","0","0","0","126","0"
"2013年02月05日18時40分","0","0","40","38","19","0","0","0","0","11","2"
"2013年02月05日18時45分","0","0","5","31","4","0","0","0","0","56","0"
"2013年02月05日18時50分","0","0","0","16","0","0","0","0","0","119","0"
"2013年02月05日18時55分","8","0","2","6","0","0","0","0","0","92","1"
"2013年02月05日19時00分","0","0","0","31","0","0","0","0","0","63","0"
"2013年02月05日19時05分","0","0","0","12","0","0","0","0","0","134","0"
"2013年02月05日19時10分","0","0","0","26","0","0","0","0","0","111","0"
"2013年02月05日19時15分","0","0","0","0","0","0","0","0","0","152","0"
"2013年02月05日19時20分","0","0","0","0","0","0","0","0","0","122","0"
"2013年02月05日19時25分","0","0","0","0","0","0","0","0","0","107","0"
"2013年02月05日19時30分","0","0","0","0","0","0","0","0","0","57","0"
"2013年02月05日19時35分","0","0","0","14","0","0","0","0","3","56","0"
"2013年02月05日19時40分","0","0","0","3","0","0","0","0","0","10","0"
"2013年02月05日19時45分","0","0","18","10","13","0","0","0","0","7","0"
"2013年02月05日19時50分","0","0","58","34","20","0","0","0","0","0","4"
"2013年02月05日19時55分","0","0","18","17","0","0","0","0","0","0","0"
"2013年02月05日20時00分","0","0","0","26","0","0","0","0","0","19","10"
"2013年02月05日20時05分","0","0","0","37","0","0","0","0","0","16","0"
"2013年02月05日20時10分","0","0","0","7","0","0","0","0","0","74","0"
"2013年02月05日20時15分","0","0","0","0","0","0","0","0","0","107","6"
"2013年02月05日20時20分","1","17","33","16","30","0","0","0","0","10","5"
