"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"調査　","2013年02月06日09時01分34秒","2013年02月06日09時01分36秒","1","0","0"
"メール","2013年02月06日09時01分37秒","2013年02月06日09時01分40秒","1","0","1"
"調査　","2013年02月06日09時01分40秒","2013年02月06日09時01分41秒","1","0","0"
"メール","2013年02月06日09時01分41秒","2013年02月06日09時01分56秒","3","0","0"
"調査　","2013年02月06日09時01分57秒","2013年02月06日09時02分14秒","2","0","0"
"ファイル操作","2013年02月06日09時02分14秒","2013年02月06日09時02分15秒","1","0","0"
"メール","2013年02月06日09時02分15秒","2013年02月06日09時02分21秒","1","0","0"
"調査　","2013年02月06日09時02分22秒","2013年02月06日09時02分38秒","4","0","0"
"メール","2013年02月06日09時02分38秒","2013年02月06日09時02分42秒","5","0","0"
"調査　","2013年02月06日09時02分42秒","2013年02月06日09時02分44秒","1","0","0"
"ファイル操作","2013年02月06日09時02分44秒","2013年02月06日09時02分47秒","5","0","0"
"ファイル操作","2013年02月06日09時02分47秒","2013年02月06日09時02分48秒","1","0","0"
"登録外","2013年02月06日09時02分48秒","2013年02月06日09時02分49秒","1","0","0"
"ファイル操作","2013年02月06日09時02分49秒","2013年02月06日09時03分11秒","1","0","0"
"ブラウザ","2013年02月06日09時03分11秒","2013年02月06日09時03分25秒","4","0","0"
"ブラウザ","2013年02月06日09時03分25秒","2013年02月06日09時03分29秒","2","0","0"
"ブラウザ","2013年02月06日09時03分29秒","2013年02月06日09時03分31秒","1","0","0"
"ブラウザ","2013年02月06日09時03分31秒","2013年02月06日09時03分38秒","4","0","0"
"ブラウザ","2013年02月06日09時03分38秒","2013年02月06日09時03分39秒","0","0","0"
"ブラウザ","2013年02月06日09時03分39秒","2013年02月06日09時03分40秒","1","0","0"
"ファイル操作","2013年02月06日09時03分40秒","2013年02月06日09時03分42秒","3","0","0"
"調査　","2013年02月06日09時03分42秒","2013年02月06日09時03分51秒","1","0","0"
"ファイル操作","2013年02月06日09時03分51秒","2013年02月06日09時03分53秒","1","0","0"
"ファイル操作","2013年02月06日09時03分53秒","2013年02月06日09時03分55秒","2","0","0"
"ファイル操作","2013年02月06日09時03分55秒","2013年02月06日09時03分56秒","1","0","0"
"調査　","2013年02月06日09時03分57秒","2013年02月06日09時03分59秒","2","0","0"
"メール","2013年02月06日09時03分59秒","2013年02月06日09時04分05秒","1","0","0"
"ファイル操作","2013年02月06日09時04分05秒","2013年02月06日09時04分06秒","0","0","0"
"ファイル操作","2013年02月06日09時04分06秒","2013年02月06日09時04分09秒","2","0","0"
"メール","2013年02月06日09時04分09秒","2013年02月06日09時04分11秒","1","0","0"
"登録外","2013年02月06日09時04分11秒","2013年02月06日09時05分00秒","0","0","0"
"登録外","2013年02月06日09時05分00秒","2013年02月06日09時05分03秒","2","0","0"
"メール","2013年02月06日09時05分03秒","2013年02月06日09時05分10秒","3","0","0"
"登録外","2013年02月06日09時05分10秒","2013年02月06日09時05分12秒","2","0","0"
"ブラウザ","2013年02月06日09時05分12秒","2013年02月06日09時05分13秒","1","0","0"
"ブラウザ","2013年02月06日09時05分13秒","2013年02月06日09時05分21秒","2","0","0"
"ブラウザ","2013年02月06日09時05分21秒","2013年02月06日09時05分24秒","1","0","0"
"ブラウザ","2013年02月06日09時05分24秒","2013年02月06日09時05分29秒","0","0","0"
"ブラウザ","2013年02月06日09時05分29秒","2013年02月06日09時05分42秒","5","0","0"
"ブラウザ","2013年02月06日09時05分42秒","2013年02月06日09時05分43秒","0","0","0"
"ブラウザ","2013年02月06日09時05分43秒","2013年02月06日09時05分50秒","1","0","0"
"ブラウザ","2013年02月06日09時05分50秒","2013年02月06日09時05分54秒","0","0","0"
"ブラウザ","2013年02月06日09時05分54秒","2013年02月06日09時05分55秒","0","0","0"
"ブラウザ","2013年02月06日09時05分55秒","2013年02月06日09時05分56秒","1","0","0"
"ファイル操作","2013年02月06日09時05分56秒","2013年02月06日09時05分57秒","2","0","0"
"テスト　","2013年02月06日09時05分57秒","2013年02月06日09時05分58秒","1","0","0"
"ファイル操作","2013年02月06日09時05分58秒","2013年02月06日09時06分00秒","2","0","0"
"ファイル操作","2013年02月06日09時06分00秒","2013年02月06日09時06分01秒","0","0","0"
"ファイル操作","2013年02月06日09時06分01秒","2013年02月06日09時06分09秒","2","1","0"
"ファイル操作","2013年02月06日09時06分09秒","2013年02月06日09時06分11秒","1","0","0"
"ファイル操作","2013年02月06日09時06分11秒","2013年02月06日09時06分38秒","2","0","0"
"ファイル操作","2013年02月06日09時06分38秒","2013年02月06日09時06分42秒","3","0","0"
"ファイル操作","2013年02月06日09時06分42秒","2013年02月06日09時06分43秒","1","0","0"
"テスト　","2013年02月06日09時06分43秒","2013年02月06日09時06分50秒","4","0","1"
"テスト　","2013年02月06日09時06分50秒","2013年02月06日09時08分58秒","1","0","3"
"ファイル操作","2013年02月06日09時08分58秒","2013年02月06日09時08分59秒","2","0","0"
"ファイル操作","2013年02月06日09時08分59秒","2013年02月06日09時09分00秒","0","0","0"
"ファイル操作","2013年02月06日09時09分00秒","2013年02月06日09時09分01秒","2","0","0"
"ファイル操作","2013年02月06日09時09分01秒","2013年02月06日09時09分13秒","3","0","2"
"テスト　","2013年02月06日09時09分13秒","2013年02月06日09時09分35秒","5","0","0"
"ファイル操作","2013年02月06日09時09分35秒","2013年02月06日09時09分47秒","2","0","2"
"テスト　","2013年02月06日09時09分47秒","2013年02月06日09時09分49秒","2","0","0"
"ファイル操作","2013年02月06日09時09分49秒","2013年02月06日09時09分50秒","2","0","0"
"ファイル操作","2013年02月06日09時09分50秒","2013年02月06日09時09分51秒","1","0","0"
"ファイル操作","2013年02月06日09時09分51秒","2013年02月06日09時09分52秒","1","0","0"
"ファイル操作","2013年02月06日09時09分52秒","2013年02月06日09時09分53秒","2","0","0"
"ファイル操作","2013年02月06日09時09分53秒","2013年02月06日09時09分55秒","4","0","0"
"ファイル操作","2013年02月06日09時09分55秒","2013年02月06日09時09分56秒","2","0","0"
"ファイル操作","2013年02月06日09時09分56秒","2013年02月06日09時10分00秒","1","0","0"
"ファイル操作","2013年02月06日09時10分00秒","2013年02月06日09時10分01秒","0","0","0"
"ファイル操作","2013年02月06日09時10分01秒","2013年02月06日09時10分02秒","1","0","0"
"ファイル操作","2013年02月06日09時10分02秒","2013年02月06日09時10分03秒","0","0","2"
"ファイル操作","2013年02月06日09時10分03秒","2013年02月06日09時10分10秒","3","0","14"
"ファイル操作","2013年02月06日09時10分10秒","2013年02月06日09時10分11秒","2","0","0"
"ファイル操作","2013年02月06日09時10分11秒","2013年02月06日09時10分12秒","2","0","0"
"ファイル操作","2013年02月06日09時10分12秒","2013年02月06日09時10分14秒","2","0","0"
"ファイル操作","2013年02月06日09時10分14秒","2013年02月06日09時10分15秒","2","0","0"
"ファイル操作","2013年02月06日09時10分15秒","2013年02月06日09時10分17秒","1","0","0"
"ファイル操作","2013年02月06日09時10分17秒","2013年02月06日09時10分19秒","1","0","0"
"ファイル操作","2013年02月06日09時10分19秒","2013年02月06日09時10分20秒","2","0","0"
"ファイル操作","2013年02月06日09時10分20秒","2013年02月06日09時10分22秒","2","0","0"
"調査　","2013年02月06日09時10分22秒","2013年02月06日09時10分32秒","2","0","4"
"調査　","2013年02月06日09時10分32秒","2013年02月06日09時10分33秒","0","0","1"
"調査　","2013年02月06日09時10分33秒","2013年02月06日09時10分35秒","1","0","0"
"調査　","2013年02月06日09時10分35秒","2013年02月06日09時10分36秒","1","0","2"
"調査　","2013年02月06日09時10分36秒","2013年02月06日09時10分44秒","4","0","0"
"ファイル操作","2013年02月06日09時10分44秒","2013年02月06日09時10分45秒","1","0","0"
"ファイル操作","2013年02月06日09時10分45秒","2013年02月06日09時11分04秒","7","0","0"
"ファイル操作","2013年02月06日09時11分04秒","2013年02月06日09時11分06秒","2","0","0"
"ファイル操作","2013年02月06日09時11分06秒","2013年02月06日09時11分07秒","1","0","0"
"メール","2013年02月06日09時11分07秒","2013年02月06日09時11分36秒","3","0","0"
"ファイル操作","2013年02月06日09時11分36秒","2013年02月06日09時11分47秒","6","0","0"
"ファイル操作","2013年02月06日09時11分47秒","2013年02月06日09時11分49秒","2","1","0"
"ファイル操作","2013年02月06日09時11分49秒","2013年02月06日09時11分52秒","3","1","0"
"ファイル操作","2013年02月06日09時11分52秒","2013年02月06日09時11分55秒","4","1","0"
"ファイル操作","2013年02月06日09時11分55秒","2013年02月06日09時12分00秒","2","0","0"
"ファイル操作","2013年02月06日09時12分00秒","2013年02月06日09時12分01秒","1","0","0"
"ファイル操作","2013年02月06日09時12分01秒","2013年02月06日09時12分03秒","2","0","0"
"ファイル操作","2013年02月06日09時12分03秒","2013年02月06日09時12分04秒","2","0","0"
"ファイル操作","2013年02月06日09時12分04秒","2013年02月06日09時12分07秒","2","0","0"
"調査　","2013年02月06日09時12分07秒","2013年02月06日09時12分09秒","0","0","1"
"調査　","2013年02月06日09時12分09秒","2013年02月06日09時12分12秒","1","0","1"
"ファイル操作","2013年02月06日09時12分12秒","2013年02月06日09時12分13秒","2","0","0"
"ファイル操作","2013年02月06日09時12分13秒","2013年02月06日09時12分14秒","2","0","0"
"ファイル操作","2013年02月06日09時12分14秒","2013年02月06日09時12分16秒","2","0","0"
"ファイル操作","2013年02月06日09時12分16秒","2013年02月06日09時12分17秒","1","0","0"
"ファイル操作","2013年02月06日09時12分17秒","2013年02月06日09時12分28秒","0","0","51"
"ファイル操作","2013年02月06日09時12分28秒","2013年02月06日09時12分29秒","1","0","0"
"ファイル操作","2013年02月06日09時12分29秒","2013年02月06日09時12分31秒","1","0","0"
"ファイル操作","2013年02月06日09時12分31秒","2013年02月06日09時12分33秒","2","0","0"
"ファイル操作","2013年02月06日09時12分33秒","2013年02月06日09時12分37秒","3","0","0"
"ファイル操作","2013年02月06日09時12分37秒","2013年02月06日09時12分41秒","0","1","1"
"ファイル操作","2013年02月06日09時12分41秒","2013年02月06日09時12分42秒","1","0","0"
"登録外","2013年02月06日09時12分42秒","2013年02月06日09時12分43秒","0","0","1"
"登録外","2013年02月06日09時12分43秒","2013年02月06日09時12分44秒","2","0","0"
"ファイル操作","2013年02月06日09時12分44秒","2013年02月06日09時12分45秒","1","0","0"
"ファイル操作","2013年02月06日09時12分45秒","2013年02月06日09時12分46秒","0","1","0"
"ファイル操作","2013年02月06日09時12分46秒","2013年02月06日09時12分49秒","1","0","0"
"登録外","2013年02月06日09時12分49秒","2013年02月06日09時12分50秒","0","0","1"
"登録外","2013年02月06日09時12分50秒","2013年02月06日09時12分51秒","0","0","0"
"登録外","2013年02月06日09時12分51秒","2013年02月06日09時12分52秒","1","0","0"
"登録外","2013年02月06日09時12分52秒","2013年02月06日09時12分53秒","1","0","0"
"登録外","2013年02月06日09時12分53秒","2013年02月06日09時12分54秒","0","0","0"
"登録外","2013年02月06日09時12分54秒","2013年02月06日09時12分55秒","2","0","0"
"登録外","2013年02月06日09時12分55秒","2013年02月06日09時12分56秒","0","0","0"
"登録外","2013年02月06日09時12分56秒","2013年02月06日09時12分57秒","1","0","0"
"登録外","2013年02月06日09時12分57秒","2013年02月06日09時12分58秒","1","0","0"
"ファイル操作","2013年02月06日09時12分58秒","2013年02月06日09時13分00秒","2","0","0"
"ファイル操作","2013年02月06日09時13分00秒","2013年02月06日09時13分01秒","2","0","0"
"ファイル操作","2013年02月06日09時13分01秒","2013年02月06日09時13分04秒","2","0","0"
"ファイル操作","2013年02月06日09時13分04秒","2013年02月06日09時13分05秒","2","0","0"
"ファイル操作","2013年02月06日09時13分05秒","2013年02月06日09時13分06秒","2","0","0"
"ファイル操作","2013年02月06日09時13分06秒","2013年02月06日09時13分08秒","4","0","0"
"ファイル操作","2013年02月06日09時13分08秒","2013年02月06日09時13分13秒","3","2","0"
"登録外","2013年02月06日09時13分13秒","2013年02月06日09時13分14秒","0","0","0"
"登録外","2013年02月06日09時13分14秒","2013年02月06日09時13分22秒","2","0","0"
"登録外","2013年02月06日09時13分22秒","2013年02月06日09時13分27秒","1","0","0"
"ファイル操作","2013年02月06日09時13分27秒","2013年02月06日09時13分28秒","2","0","0"
"ファイル操作","2013年02月06日09時13分28秒","2013年02月06日09時13分29秒","1","0","0"
"登録外","2013年02月06日09時13分29秒","2013年02月06日09時13分30秒","1","0","0"
"ファイル操作","2013年02月06日09時13分30秒","2013年02月06日09時13分32秒","4","0","0"
"ファイル操作","2013年02月06日09時13分32秒","2013年02月06日09時13分33秒","4","0","0"
"ファイル操作","2013年02月06日09時13分33秒","2013年02月06日09時13分34秒","2","0","0"
"ファイル操作","2013年02月06日09時13分34秒","2013年02月06日09時13分52秒","4","3","0"
"ファイル操作","2013年02月06日09時13分52秒","2013年02月06日09時13分55秒","4","0","0"
"ファイル操作","2013年02月06日09時13分55秒","2013年02月06日09時13分57秒","2","0","0"
"ファイル操作","2013年02月06日09時13分57秒","2013年02月06日09時13分59秒","1","0","0"
"ファイル操作","2013年02月06日09時13分59秒","2013年02月06日09時14分00秒","2","0","0"
"ファイル操作","2013年02月06日09時14分01秒","2013年02月06日09時14分02秒","1","0","0"
"ファイル操作","2013年02月06日09時14分02秒","2013年02月06日09時14分06秒","1","1","0"
"ファイル操作","2013年02月06日09時14分06秒","2013年02月06日09時14分07秒","0","1","0"
"ファイル操作","2013年02月06日09時14分07秒","2013年02月06日09時14分08秒","0","1","0"
"ファイル操作","2013年02月06日09時14分08秒","2013年02月06日09時14分12秒","1","0","0"
"登録外","2013年02月06日09時14分12秒","2013年02月06日09時14分23秒","12","0","0"
"登録外","2013年02月06日09時14分23秒","2013年02月06日09時14分24秒","0","0","0"
"登録外","2013年02月06日09時14分24秒","2013年02月06日09時14分25秒","2","0","0"
"ファイル操作","2013年02月06日09時14分25秒","2013年02月06日09時14分26秒","1","0","0"
"ファイル操作","2013年02月06日09時14分26秒","2013年02月06日09時14分28秒","2","0","0"
"ファイル操作","2013年02月06日09時14分28秒","2013年02月06日09時14分29秒","2","0","0"
"ファイル操作","2013年02月06日09時14分29秒","2013年02月06日09時14分30秒","1","0","0"
"登録外","2013年02月06日09時14分30秒","2013年02月06日09時14分31秒","0","1","0"
"ファイル操作","2013年02月06日09時14分31秒","2013年02月06日09時14分32秒","1","0","0"
"登録外","2013年02月06日09時14分32秒","2013年02月06日09時14分35秒","2","0","0"
"登録外","2013年02月06日09時14分35秒","2013年02月06日09時14分37秒","2","0","0"
"登録外","2013年02月06日09時14分37秒","2013年02月06日09時14分38秒","1","0","0"
"登録外","2013年02月06日09時14分38秒","2013年02月06日09時14分39秒","2","0","0"
"登録外","2013年02月06日09時14分39秒","2013年02月06日09時14分41秒","2","0","1"
"登録外","2013年02月06日09時14分41秒","2013年02月06日09時14分43秒","2","0","0"
"登録外","2013年02月06日09時14分43秒","2013年02月06日09時14分51秒","2","0","0"
"ファイル操作","2013年02月06日09時14分51秒","2013年02月06日09時14分54秒","1","0","0"
"ファイル操作","2013年02月06日09時14分54秒","2013年02月06日09時14分55秒","1","0","0"
"ファイル操作","2013年02月06日09時14分55秒","2013年02月06日09時14分56秒","1","0","0"
"登録外","2013年02月06日09時14分56秒","2013年02月06日09時14分57秒","1","0","0"
"ファイル操作","2013年02月06日09時14分57秒","2013年02月06日09時15分00秒","2","0","0"
"ファイル操作","2013年02月06日09時15分00秒","2013年02月06日09時15分01秒","1","0","0"
"登録外","2013年02月06日09時15分01秒","2013年02月06日09時15分23秒","2","0","0"
"登録外","2013年02月06日09時15分23秒","2013年02月06日09時15分24秒","1","0","0"
"ファイル操作","2013年02月06日09時15分24秒","2013年02月06日09時15分28秒","1","0","0"
"ファイル操作","2013年02月06日09時15分28秒","2013年02月06日09時15分34秒","1","0","2"
"テスト　","2013年02月06日09時15分34秒","2013年02月06日09時15分56秒","21","0","0"
"ファイル操作","2013年02月06日09時15分56秒","2013年02月06日09時15分57秒","2","0","0"
"ファイル操作","2013年02月06日09時15分57秒","2013年02月06日09時15分58秒","2","0","0"
"ファイル操作","2013年02月06日09時15分58秒","2013年02月06日09時17分07秒","3","0","0"
"ファイル操作","2013年02月06日09時17分07秒","2013年02月06日09時17分08秒","1","0","0"
"ファイル操作","2013年02月06日09時17分08秒","2013年02月06日09時17分10秒","2","0","0"
"ファイル操作","2013年02月06日09時17分10秒","2013年02月06日09時17分12秒","2","0","0"
"ファイル操作","2013年02月06日09時17分12秒","2013年02月06日09時17分13秒","1","0","0"
"ファイル操作","2013年02月06日09時17分13秒","2013年02月06日09時17分15秒","2","0","0"
"ファイル操作","2013年02月06日09時17分15秒","2013年02月06日09時17分16秒","2","0","0"
"ファイル操作","2013年02月06日09時17分16秒","2013年02月06日09時17分17秒","3","0","0"
"ファイル操作","2013年02月06日09時17分17秒","2013年02月06日09時17分19秒","4","0","0"
"ファイル操作","2013年02月06日09時17分19秒","2013年02月06日09時17分21秒","2","0","0"
"ファイル操作","2013年02月06日09時17分21秒","2013年02月06日09時17分23秒","1","0","0"
"ファイル操作","2013年02月06日09時17分23秒","2013年02月06日09時17分35秒","1","1","36"
"ファイル操作","2013年02月06日09時17分35秒","2013年02月06日09時17分37秒","1","0","0"
"ファイル操作","2013年02月06日09時17分37秒","2013年02月06日09時17分40秒","0","1","0"
"ファイル操作","2013年02月06日09時17分40秒","2013年02月06日09時17分42秒","1","0","0"
"ファイル操作","2013年02月06日09時17分42秒","2013年02月06日09時17分43秒","0","0","0"
"登録外","2013年02月06日09時17分43秒","2013年02月06日09時17分45秒","0","0","0"
"ファイル操作","2013年02月06日09時17分45秒","2013年02月06日09時17分47秒","2","0","0"
"ファイル操作","2013年02月06日09時17分47秒","2013年02月06日09時17分48秒","1","0","0"
"ファイル操作","2013年02月06日09時17分48秒","2013年02月06日09時17分49秒","1","0","0"
"メール","2013年02月06日09時17分49秒","2013年02月06日09時18分21秒","2","0","0"
"ファイル操作","2013年02月06日09時18分21秒","2013年02月06日09時18分23秒","2","0","2"
"テスト　","2013年02月06日09時18分23秒","2013年02月06日09時18分37秒","6","0","0"
"ファイル操作","2013年02月06日09時18分37秒","2013年02月06日09時18分39秒","2","0","0"
"メール","2013年02月06日09時18分39秒","2013年02月06日09時18分40秒","1","0","0"
"ブラウザ","2013年02月06日09時18分41秒","2013年02月06日09時18分45秒","1","0","0"
"メール","2013年02月06日09時18分45秒","2013年02月06日09時19分09秒","8","0","0"
"ファイル操作","2013年02月06日09時19分09秒","2013年02月06日09時19分13秒","3","0","0"
"調査　","2013年02月06日09時19分13秒","2013年02月06日09時19分16秒","2","0","0"
"メール","2013年02月06日09時19分16秒","2013年02月06日09時19分25秒","2","0","2"
"調査　","2013年02月06日09時19分25秒","2013年02月06日09時19分28秒","1","0","1"
"調査　","2013年02月06日09時19分28秒","2013年02月06日09時19分29秒","0","0","2"
"調査　","2013年02月06日09時19分29秒","2013年02月06日09時19分32秒","1","0","2"
"調査　","2013年02月06日09時19分32秒","2013年02月06日09時19分34秒","1","0","0"
