"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日18時45分","0","0","97","0","0","109","0","0","18","0","37"
"2013年02月05日18時50分","0","0","15","0","0","85","0","0","198","0","0"
"2013年02月05日18時55分","0","0","0","0","0","237","0","0","0","0","0"
"2013年02月05日19時00分","0","0","13","6","0","118","0","0","22","0","0"
"2013年02月05日19時05分","0","0","0","0","0","270","0","0","28","0","0"
"2013年02月05日19時10分","0","4","9","0","0","286","0","0","0","0","0"
"2013年02月05日19時15分","0","254","16","0","0","1","0","0","0","0","0"
"2013年02月05日19時20分","0","218","4","66","0","0","0","0","0","0","8"
"2013年02月05日19時25分","17","0","19","12","0","155","0","0","9","0","84"
"2013年02月05日19時30分","0","0","0","0","0","107","0","0","0","0","187"
"2013年02月05日19時35分","112","0","1","0","0","66","0","0","0","0","117"
"2013年02月06日16時30分","19","43","122","0","0","177","0","0","0","0","28"
"2013年02月06日16時35分","8","0","0","0","0","65","0","0","0","0","226"
"2013年02月06日16時40分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月06日16時45分","0","0","0","0","0","190","0","0","0","0","0"
"2013年02月06日16時50分","1","36","21","0","0","123","0","0","0","0","5"
"2013年02月06日16時55分","1","26","0","0","0","0","0","0","0","0","23"
"2013年02月06日17時00分","15","0","6","0","0","17","0","0","0","0","261"
"2013年02月06日17時05分","0","0","0","0","0","23","0","0","0","0","276"
"2013年02月06日17時10分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月06日17時15分","110","0","0","0","0","135","0","0","0","0","52"
"2013年02月06日17時20分","159","0","0","0","0","26","0","0","0","0","111"
"2013年02月06日17時25分","105","16","18","0","0","154","0","0","0","0","0"
"2013年02月06日17時30分","0","0","0","0","0","206","0","0","0","0","0"
"2013年02月06日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時40分","17","105","0","0","0","19","0","0","0","0","0"
"2013年02月06日17時45分","0","0","0","0","0","194","0","0","0","0","0"
"2013年02月06日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時00分","0","0","0","0","0","112","0","0","0","0","0"
"2013年02月06日18時05分","0","0","0","0","0","273","0","0","0","0","0"
"2013年02月06日18時10分","53","6","0","0","0","240","0","0","0","0","0"
"2013年02月06日18時15分","79","0","0","0","0","221","0","0","0","0","0"
"2013年02月06日18時20分","222","0","17","0","0","48","0","0","0","0","11"
"2013年02月06日18時25分","260","0","23","0","0","0","0","0","0","0","15"
"2013年02月06日18時30分","296","0","0","0","0","2","0","0","0","0","0"
"2013年02月06日18時35分","3","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時45分","1","0","2","0","0","177","0","0","0","0","0"
"2013年02月06日18時50分","186","19","19","0","0","35","0","0","0","0","0"
"2013年02月06日18時55分","46","81","0","0","0","151","0","0","0","0","19"
"2013年02月06日19時00分","0","0","1","0","0","297","0","0","0","0","0"
"2013年02月07日09時45分","0","152","122","0","0","21","0","0","0","0","0"
"2013年02月07日09時50分","0","17","14","0","0","230","0","0","0","0","36"
"2013年02月07日09時55分","113","17","76","0","0","0","0","0","0","0","89"
"2013年02月07日10時00分","96","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時05分","156","0","0","0","0","37","0","0","0","0","5"
"2013年02月07日10時10分","70","25","45","0","0","146","0","0","0","0","10"
"2013年02月07日10時15分","5","0","13","0","0","219","0","0","0","0","59"
"2013年02月07日10時20分","120","6","20","0","0","139","0","0","0","0","5"
"2013年02月07日10時25分","240","0","0","0","0","3","0","0","0","0","55"
"2013年02月07日10時30分","248","0","0","0","0","11","0","0","0","0","35"
"2013年02月07日10時35分","231","0","0","0","0","0","0","0","0","0","66"
"2013年02月07日10時40分","255","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時50分","172","4","0","0","0","73","0","0","0","0","6"
"2013年02月07日10時55分","16","0","0","0","0","282","0","0","0","0","0"
"2013年02月07日11時00分","0","0","0","0","0","278","0","0","0","0","9"
"2013年02月07日11時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時05分","0","0","0","0","0","22","0","0","0","0","0"
"2013年02月07日13時10分","204","63","1","0","0","20","0","0","0","0","6"
"2013年02月07日13時15分","299","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時20分","155","0","34","0","0","0","0","0","0","0","108"
"2013年02月07日13時25分","185","19","9","0","0","49","0","0","0","0","35"
"2013年02月07日13時30分","289","0","2","0","0","0","0","0","0","0","5"
"2013年02月07日13時35分","138","46","0","0","0","112","0","0","0","0","0"
"2013年02月07日13時40分","45","55","39","3","0","152","0","0","0","0","0"
"2013年02月07日13時45分","0","59","9","0","0","29","0","13","186","0","0"
"2013年02月07日13時50分","244","25","0","0","0","27","0","0","0","0","0"
"2013年02月07日13時55分","60","0","11","0","0","227","0","0","0","0","0"
"2013年02月07日14時00分","45","13","8","36","0","177","0","0","0","0","13"
"2013年02月07日14時05分","0","0","2","114","0","181","0","0","0","0","0"
"2013年02月07日14時10分","33","11","4","0","0","249","0","0","0","0","0"
"2013年02月07日14時15分","78","4","6","0","0","209","0","0","0","0","0"
"2013年02月07日14時20分","0","0","7","0","0","287","0","0","0","0","0"
"2013年02月07日14時25分","29","0","19","0","0","149","0","0","0","0","97"
"2013年02月07日14時30分","12","39","3","0","0","15","0","0","0","0","122"
"2013年02月07日14時35分","0","0","0","0","0","0","0","0","0","0","56"
"2013年02月07日14時40分","15","0","28","0","0","0","0","0","0","0","166"
"2013年02月07日14時45分","120","0","21","0","0","41","0","0","0","0","114"
"2013年02月07日14時50分","104","0","29","40","0","102","0","0","0","0","17"
"2013年02月07日14時55分","182","0","1","49","0","66","0","0","0","0","0"
"2013年02月07日15時00分","219","0","8","0","0","14","0","0","0","0","0"
"2013年02月07日15時05分","173","34","3","0","0","85","0","0","0","0","1"
"2013年02月07日15時10分","0","0","0","0","0","144","0","0","0","0","0"
"2013年02月07日15時15分","0","0","0","0","0","81","0","0","0","0","0"
"2013年02月07日15時20分","183","0","0","0","0","103","0","0","0","0","0"
"2013年02月07日15時25分","46","0","8","0","0","234","0","10","0","0","0"
"2013年02月07日15時30分","50","0","0","0","0","211","0","0","0","0","0"
"2013年02月07日15時35分","144","0","22","0","0","128","0","0","0","0","1"
"2013年02月07日15時40分","240","0","0","0","0","51","0","0","0","0","5"
"2013年02月07日15時45分","255","0","0","0","0","43","0","0","0","0","0"
"2013年02月07日15時50分","112","0","0","0","0","186","0","0","0","0","0"
"2013年02月07日15時55分","0","0","15","0","0","204","0","0","0","0","80"
"2013年02月07日16時00分","0","54","2","0","0","74","0","0","0","0","168"
"2013年02月07日16時05分","0","0","0","0","0","15","0","0","0","0","28"
"2013年02月07日16時10分","29","0","17","0","0","243","0","0","0","0","9"
"2013年02月07日16時15分","0","0","20","8","0","0","0","0","73","0","195"
