"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","エクセル","ファイル操作","登録外"
"2013年02月04日18時30分","0","0","0","0","0","0","0","0","297"
"2013年02月04日18時35分","0","0","0","0","0","0","19","3","272"
"2013年02月04日18時40分","0","0","0","0","0","0","15","1","281"
"2013年02月04日18時45分","0","0","0","0","0","0","0","0","296"
"2013年02月04日18時50分","0","0","0","0","0","0","0","0","298"
"2013年02月04日18時55分","0","0","0","0","0","0","0","106","184"
"2013年02月04日19時00分","0","41","15","0","0","0","138","102","0"
"2013年02月04日19時05分","0","25","0","0","0","0","85","20","166"
"2013年02月04日19時10分","0","157","0","0","0","0","106","19","16"
"2013年02月04日19時15分","26","106","17","0","0","0","2","50","91"
"2013年02月05日09時00分","0","258","118","0","0","0","0","14","0"
"2013年02月05日09時05分","0","61","193","0","0","0","0","1","0"
"2013年02月05日09時10分","0","216","3","0","0","0","0","1","77"
"2013年02月05日09時15分","0","11","5","0","0","0","8","17","250"
"2013年02月05日09時20分","0","106","0","0","0","0","161","4","25"
"2013年02月05日09時25分","0","179","0","0","0","0","72","0","45"
"2013年02月05日09時30分","0","0","0","0","0","0","72","0","224"
"2013年02月05日09時35分","0","154","39","0","0","0","15","13","72"
"2013年02月05日09時40分","0","0","0","0","0","0","0","0","298"
"2013年02月05日09時45分","0","0","0","0","0","0","0","1","292"
"2013年02月05日09時50分","0","0","0","0","0","0","0","0","297"
"2013年02月05日09時55分","0","0","26","0","0","0","0","5","265"
"2013年02月05日10時00分","0","0","0","0","0","0","0","5","291"
"2013年02月05日10時05分","0","0","0","0","0","0","0","3","289"
"2013年02月05日10時10分","0","0","0","0","0","0","0","0","297"
"2013年02月05日10時15分","0","0","5","0","0","0","0","66","225"
"2013年02月05日10時20分","0","0","0","0","0","0","0","21","275"
"2013年02月05日10時25分","0","28","0","0","0","0","0","1","267"
"2013年02月05日10時30分","0","0","0","0","0","0","0","17","279"
"2013年02月05日10時35分","0","0","0","0","0","0","0","1","295"
"2013年02月05日10時40分","0","0","0","0","0","0","0","1","295"
"2013年02月05日10時45分","0","0","0","0","0","0","0","1","295"
"2013年02月05日10時50分","0","0","0","0","0","0","0","2","295"
"2013年02月05日10時55分","0","0","0","0","0","0","0","2","294"
"2013年02月05日11時00分","0","0","0","0","0","0","0","0","297"
"2013年02月05日11時05分","0","0","16","0","0","0","0","4","276"
"2013年02月05日11時10分","0","0","0","0","0","0","0","20","275"
"2013年02月05日11時15分","0","0","0","0","0","0","0","2","293"
"2013年02月05日11時20分","0","9","0","0","0","0","0","0","287"
