"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"ブラウザ","2013年02月04日09時48分08秒","2013年02月04日09時48分10秒","1","0","0"
"ブラウザ","2013年02月04日09時48分10秒","2013年02月04日09時48分37秒","1","0","0"
"ブラウザ","2013年02月04日09時48分37秒","2013年02月04日09時48分39秒","1","0","0"
"ブラウザ","2013年02月04日09時48分39秒","2013年02月04日09時49分59秒","2","0","0"
"プログラミング","2013年02月04日09時49分59秒","2013年02月04日09時50分00秒","0","0","0"
"プログラミング・デバッグ　","2013年02月04日09時49分59秒","2013年02月04日09時50分00秒","0","0","0"
"プログラミング","2013年02月04日09時50分00秒","2013年02月04日09時51分39秒","17","0","0"
"プログラミング・デバッグ　","2013年02月04日09時50分00秒","2013年02月04日09時51分39秒","17","0","0"
"ファイル操作","2013年02月04日09時51分39秒","2013年02月04日09時51分40秒","0","0","0"
"ファイル操作","2013年02月04日09時51分40秒","2013年02月04日09時51分42秒","2","0","0"
"ファイル操作","2013年02月04日09時51分42秒","2013年02月04日09時51分43秒","2","0","0"
"ファイル操作","2013年02月04日09時51分43秒","2013年02月04日09時51分54秒","0","1","0"
"ファイル操作","2013年02月04日09時51分54秒","2013年02月04日09時51分56秒","1","0","0"
"ファイル操作","2013年02月04日09時51分56秒","2013年02月04日09時51分57秒","1","0","0"
"ファイル操作","2013年02月04日09時51分57秒","2013年02月04日09時51分58秒","0","1","0"
"ファイル操作","2013年02月04日09時51分58秒","2013年02月04日09時51分59秒","0","0","0"
"ファイル操作","2013年02月04日09時51分59秒","2013年02月04日09時52分00秒","2","0","0"
"ファイル操作","2013年02月04日09時52分00秒","2013年02月04日09時52分03秒","0","1","0"
"ファイル操作","2013年02月04日09時52分03秒","2013年02月04日09時52分04秒","0","0","0"
"ファイル操作","2013年02月04日09時52分04秒","2013年02月04日09時52分05秒","1","0","0"
"ファイル操作","2013年02月04日09時52分05秒","2013年02月04日09時52分06秒","1","0","0"
"ファイル操作","2013年02月04日09時52分06秒","2013年02月04日09時52分08秒","2","0","0"
"ファイル操作","2013年02月04日09時52分08秒","2013年02月04日09時52分09秒","1","0","0"
"ファイル操作","2013年02月04日09時52分09秒","2013年02月04日09時52分12秒","4","0","0"
"プログラミング","2013年02月04日09時52分12秒","2013年02月04日09時52分18秒","3","0","0"
