"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日18時50分","0","0","0","0","0","0","0","0","0","0","35"
"2013年02月05日18時55分","0","2","0","0","0","0","0","0","0","0","29"
"2013年02月05日19時00分","0","0","0","0","0","0","0","0","0","0","16"
"2013年02月05日19時05分","0","0","2","0","0","0","0","0","8","0","8"
"2013年02月05日19時10分","0","0","0","0","0","0","0","0","69","0","73"
"2013年02月05日19時15分","0","0","0","0","0","0","0","0","0","0","94"
"2013年02月05日19時20分","0","0","0","0","0","0","0","0","0","0","45"
"2013年02月05日19時25分","0","0","0","0","0","0","0","0","0","0","102"
"2013年02月05日19時30分","0","0","0","0","0","0","0","0","2","0","48"
"2013年02月05日19時35分","0","0","0","0","0","0","0","0","0","0","157"
"2013年02月05日19時40分","0","0","0","0","0","0","0","0","1","0","141"
"2013年02月05日19時45分","0","0","0","0","0","0","0","0","32","0","58"
"2013年02月05日19時50分","0","0","0","0","0","4","0","0","20","0","78"
"2013年02月05日19時55分","0","0","0","0","0","0","0","0","5","0","76"
"2013年02月05日20時00分","0","0","0","0","0","0","0","0","0","0","91"
"2013年02月05日20時05分","0","0","0","0","0","0","0","0","0","0","63"
"2013年02月05日20時10分","1","0","0","0","0","0","0","0","0","0","84"
"2013年02月05日20時15分","104","2","2","0","0","0","0","0","0","0","23"
"2013年02月05日20時20分","5","0","0","0","0","2","0","0","39","0","19"
"2013年02月05日20時25分","113","0","0","0","0","0","0","0","0","0","2"
"2013年02月07日09時00分","0","27","3","0","0","0","0","0","0","0","0"
"2013年02月07日09時05分","0","0","0","0","0","0","0","0","0","0","57"
"2013年02月07日09時10分","0","0","0","0","0","0","0","0","0","0","73"
"2013年02月07日09時15分","0","0","0","23","0","0","0","0","0","0","42"
