User,WorkingHour_SECOND,WorkingHour_MINUTE
fg,32411,540
ht,0,0
iu,28977,482
kt,47172,786
lu,34604,576
Mk,24364,406
nm,21776,362
si,69880,1164
sk,25991,433
so,40848,680
std,27701,461
sty,17000,283
yg,51646,860
