"","打鍵回数","左クリック","右クリック"
"2013年02月08日12時35分","0","0","0"
"2013年02月08日12時40分","17","0","0"
"2013年02月08日12時45分","35","0","0"
"2013年02月08日12時50分","10","0","0"
"2013年02月08日12時55分","19","0","0"
"2013年02月08日13時00分","38","0","0"
"2013年02月08日13時05分","0","0","0"
"2013年02月08日13時10分","0","0","0"
"2013年02月08日13時15分","0","0","0"
"2013年02月08日13時20分","2","0","0"
"2013年02月08日13時25分","5","0","0"
"2013年02月08日13時30分","8","0","0"
"2013年02月08日13時35分","6","0","0"
"2013年02月08日13時40分","0","0","0"
"2013年02月08日13時45分","2","0","0"
"2013年02月08日13時50分","6","0","0"
"2013年02月08日13時55分","1","0","0"
"2013年02月08日14時00分","0","0","0"
"2013年02月08日14時05分","0","0","0"
"2013年02月08日14時10分","16","0","0"
"2013年02月08日14時15分","6","0","0"
"2013年02月08日14時20分","1","0","0"
"2013年02月08日14時25分","0","0","0"
"2013年02月08日14時30分","0","0","0"
"2013年02月08日14時35分","4","0","0"
"2013年02月08日14時40分","19","0","0"
"2013年02月08日14時45分","33","0","0"
"2013年02月08日14時50分","8","0","0"
"2013年02月08日14時55分","6","0","0"
"2013年02月08日15時00分","8","0","0"
"2013年02月08日15時05分","4","0","0"
"2013年02月08日15時10分","18","0","0"
"2013年02月08日15時15分","16","0","0"
"2013年02月08日15時20分","34","0","0"
"2013年02月08日15時25分","1","0","0"
"2013年02月08日15時30分","1","0","0"
"2013年02月08日15時35分","41","0","0"
"2013年02月08日15時40分","43","0","0"
"2013年02月08日15時45分","0","0","0"
"2013年02月08日15時50分","1","0","0"
"2013年02月08日15時55分","8","0","0"
"2013年02月08日16時00分","18","0","0"
"2013年02月08日16時05分","126","0","0"
"2013年02月08日16時10分","0","0","0"
"2013年02月08日16時15分","49","0","0"
"2013年02月08日16時20分","164","0","0"
"2013年02月08日16時25分","90","0","0"
"2013年02月08日16時30分","90","0","0"
"2013年02月08日16時35分","6","0","0"
"2013年02月08日16時40分","2","0","0"
"2013年02月08日16時45分","20","0","0"
"2013年02月08日16時50分","51","0","0"
"2013年02月08日16時55分","7","0","0"
"2013年02月08日17時00分","3","0","0"
"2013年02月08日17時05分","93","0","0"
"2013年02月08日17時10分","17","0","0"
"2013年02月08日17時15分","14","0","0"
