User,WorkingHour_SECOND,WorkingHour_MINUTE
fg,34560,576
ht,40772,679
iu,31065,517
kt,834,13
lu,0,0
Mk,31603,526
nm,0,0
si,18850,314
sk,33632,560
so,889,14
std,34455,574
sty,0,0
yg,619,10
