Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
FileOperation,20130204:105730,20130204:105731,0,0,2
Email,20130204:105731,20130204:110001,0,0,141
Email,20130204:110001,20130204:110501,0,0,782
Email,20130204:110501,20130204:110701,0,0,221
Browser,20130204:110701,20130204:110702,0,0,1
Browser,20130204:110702,20130204:110703,0,0,2
Email,20130204:110703,20130204:110707,0,0,0
Browser,20130204:110707,20130204:110709,0,0,0
Browser,20130204:110709,20130204:110712,0,0,2
Email,20130204:110712,20130204:111001,0,0,321
Email,20130204:111001,20130204:111237,0,0,137
FileOperation,20130204:111238,20130204:111245,0,0,0
FileOperation,20130204:111245,20130204:111250,0,0,0
FileOperation,20130204:111250,20130204:111254,0,0,0
Browser,20130204:111254,20130204:111257,0,0,0
Browser,20130204:111257,20130204:111300,0,0,0
Browser,20130204:111300,20130204:111302,0,0,0
Browser,20130204:111302,20130204:111304,0,0,0
Browser,20130204:111304,20130204:111305,0,0,0
Browser,20130204:111305,20130204:111309,0,0,0
Browser,20130204:111309,20130204:111319,0,0,0
FileOperation,20130204:111319,20130204:111326,0,0,0
Other,20130204:111326,20130204:111332,0,0,0
FileOperation,20130204:111332,20130204:111337,0,0,0
Other,20130204:111337,20130204:111428,0,0,62
Other,20130204:111428,20130204:111501,0,0,0
Other,20130204:111501,20130204:111520,0,0,0
Browser,20130204:111520,20130204:111523,0,0,0
Other,20130204:111523,20130204:111525,0,0,0
Browser,20130204:111525,20130204:111528,0,0,0
Browser,20130204:111528,20130204:111722,0,0,2
Other,20130204:111722,20130204:111851,0,0,71
Email,20130204:111852,20130204:112002,0,0,212
Email,20130204:112002,20130204:112010,0,0,0
Email,20130204:112010,20130204:112011,0,0,0
Email,20130204:112011,20130204:112015,0,0,0
Other,20130204:112015,20130204:112018,0,0,0
FileOperation,20130204:112018,20130204:112020,0,0,0
Browser,20130204:112020,20130204:112026,0,0,0
Email,20130204:112026,20130204:112105,0,0,0
Browser,20130204:112105,20130204:112106,0,0,0
Browser,20130204:112106,20130204:112119,0,0,0
Email,20130204:112119,20130204:112124,0,0,0
Email,20130204:112124,20130204:112131,0,0,0
Browser,20130204:112131,20130204:112136,0,0,0
Browser,20130204:112136,20130204:112140,0,0,0
Browser,20130204:112140,20130204:112141,0,0,0
Browser,20130204:112141,20130204:112146,0,0,0
Email,20130204:112146,20130204:112150,0,0,0
