"","打鍵回数","左クリック","右クリック"
"2013年02月04日23時40分","0","0","0"
"2013年02月04日23時45分","0","0","0"
"2013年02月04日23時50分","0","0","0"
"2013年02月04日23時55分","0","0","0"
"2013年02月05日00時00分","0","0","0"
"2013年02月05日00時05分","0","0","0"
"2013年02月05日00時10分","0","0","0"
"2013年02月05日00時15分","0","0","0"
"2013年02月05日00時20分","0","0","0"
"2013年02月05日00時25分","0","0","0"
"2013年02月05日00時30分","0","0","0"
"2013年02月05日00時35分","0","0","0"
"2013年02月05日00時40分","0","0","0"
"2013年02月05日00時45分","0","0","0"
"2013年02月05日00時50分","0","0","0"
"2013年02月05日00時55分","0","0","0"
"2013年02月05日01時00分","0","0","0"
"2013年02月05日01時05分","0","0","0"
"2013年02月05日01時10分","0","0","0"
"2013年02月05日01時15分","0","0","0"
"2013年02月05日01時20分","0","0","0"
"2013年02月05日01時25分","0","0","0"
"2013年02月05日01時30分","0","0","0"
"2013年02月05日01時35分","0","0","0"
"2013年02月05日01時40分","0","0","0"
"2013年02月05日01時45分","0","0","0"
"2013年02月05日01時50分","0","0","0"
"2013年02月05日01時55分","0","0","0"
"2013年02月05日02時00分","0","0","0"
"2013年02月05日02時05分","0","0","0"
"2013年02月05日02時10分","0","0","0"
"2013年02月05日02時15分","0","0","0"
"2013年02月05日02時20分","0","0","0"
"2013年02月05日02時25分","0","0","0"
"2013年02月05日02時30分","0","0","0"
"2013年02月05日02時35分","0","0","0"
"2013年02月05日02時40分","0","0","0"
"2013年02月05日02時45分","0","0","0"
"2013年02月05日02時50分","0","0","0"
"2013年02月05日02時55分","0","0","0"
"2013年02月05日03時00分","0","0","0"
"2013年02月05日03時05分","0","0","0"
"2013年02月05日03時10分","0","0","0"
"2013年02月05日03時15分","0","0","0"
"2013年02月05日03時20分","0","0","0"
"2013年02月05日03時25分","0","0","0"
"2013年02月05日03時30分","0","0","0"
"2013年02月05日03時35分","0","0","0"
"2013年02月05日03時40分","0","0","0"
"2013年02月05日03時45分","0","0","0"
"2013年02月05日03時50分","0","0","0"
"2013年02月05日03時55分","0","0","0"
"2013年02月05日04時00分","0","0","0"
"2013年02月05日04時05分","0","0","0"
"2013年02月05日04時10分","0","0","0"
"2013年02月05日04時15分","0","0","0"
"2013年02月05日04時20分","0","0","0"
"2013年02月05日04時25分","0","0","0"
"2013年02月05日04時30分","0","0","0"
"2013年02月05日04時35分","0","0","0"
"2013年02月05日04時40分","0","0","0"
"2013年02月05日04時45分","0","0","0"
"2013年02月05日04時50分","0","0","0"
"2013年02月05日04時55分","0","0","0"
"2013年02月05日05時00分","0","0","0"
"2013年02月05日05時05分","0","0","0"
"2013年02月05日05時10分","0","0","0"
"2013年02月05日05時15分","0","0","0"
"2013年02月05日05時20分","0","0","0"
"2013年02月05日05時25分","0","0","0"
"2013年02月05日05時30分","0","0","0"
"2013年02月05日05時35分","0","0","0"
"2013年02月05日05時40分","0","0","0"
"2013年02月05日05時45分","0","0","0"
"2013年02月05日05時50分","0","0","0"
"2013年02月05日05時55分","0","0","0"
"2013年02月05日06時00分","0","0","0"
"2013年02月05日06時05分","0","0","0"
"2013年02月05日06時10分","0","0","0"
"2013年02月05日06時15分","0","0","0"
"2013年02月05日06時20分","0","0","0"
"2013年02月05日06時25分","0","0","0"
"2013年02月05日06時30分","0","0","0"
"2013年02月05日06時35分","0","0","0"
"2013年02月05日06時40分","0","0","0"
"2013年02月05日06時45分","0","0","0"
"2013年02月05日06時50分","0","0","0"
"2013年02月05日06時55分","0","0","0"
"2013年02月05日07時00分","0","0","0"
"2013年02月05日07時05分","0","0","0"
"2013年02月05日07時10分","0","0","0"
"2013年02月05日07時15分","0","0","0"
"2013年02月05日07時20分","0","0","0"
"2013年02月05日07時25分","0","0","0"
"2013年02月05日07時30分","0","0","0"
"2013年02月05日07時35分","0","0","0"
"2013年02月05日07時40分","0","0","0"
"2013年02月05日07時45分","0","0","0"
"2013年02月05日07時50分","0","0","0"
"2013年02月05日07時55分","0","0","0"
"2013年02月05日08時00分","0","0","0"
"2013年02月05日08時05分","0","0","0"
"2013年02月05日08時10分","0","0","0"
"2013年02月05日08時15分","0","0","0"
"2013年02月05日08時20分","0","0","0"
"2013年02月05日08時25分","0","0","0"
"2013年02月05日08時30分","0","0","0"
"2013年02月05日08時35分","0","0","0"
"2013年02月05日08時40分","0","0","0"
"2013年02月05日08時45分","0","0","0"
"2013年02月05日08時50分","0","0","0"
"2013年02月05日08時55分","0","0","0"
"2013年02月05日09時05分","7","0","0"
"2013年02月05日09時10分","11","0","0"
"2013年02月05日09時15分","16","0","0"
"2013年02月05日09時20分","19","0","0"
"2013年02月05日09時25分","1","0","0"
"2013年02月05日09時30分","68","0","0"
"2013年02月05日09時35分","39","0","0"
"2013年02月05日09時40分","134","0","0"
"2013年02月05日09時45分","238","0","0"
"2013年02月05日09時50分","229","0","0"
"2013年02月05日09時55分","180","0","0"
"2013年02月05日10時00分","156","0","0"
"2013年02月05日10時05分","99","0","0"
"2013年02月05日10時10分","302","0","0"
"2013年02月05日10時15分","174","0","0"
"2013年02月05日10時20分","240","0","0"
"2013年02月05日10時25分","447","0","0"
"2013年02月05日10時30分","607","0","0"
"2013年02月05日10時35分","300","0","0"
"2013年02月05日10時40分","934","0","0"
"2013年02月05日10時45分","1094","0","0"
"2013年02月05日10時50分","0","0","0"
"2013年02月05日10時55分","0","0","0"
"2013年02月05日11時00分","206","0","0"
"2013年02月05日11時05分","280","0","0"
"2013年02月05日11時10分","284","0","0"
"2013年02月05日11時15分","262","0","0"
"2013年02月05日11時20分","161","0","0"
