"","打鍵回数","左クリック","右クリック"
"2013年02月05日11時10分","46","65","0"
"2013年02月05日11時15分","110","71","0"
"2013年02月05日11時20分","369","34","0"
"2013年02月05日11時25分","9","47","0"
"2013年02月05日11時30分","0","17","0"
"2013年02月05日11時35分","191","28","0"
"2013年02月05日11時40分","450","36","0"
"2013年02月05日11時45分","555","28","0"
"2013年02月05日11時50分","437","72","0"
"2013年02月05日11時55分","180","77","0"
"2013年02月05日12時00分","0","4","0"
"2013年02月05日12時05分","0","0","0"
"2013年02月05日12時10分","4","20","0"
"2013年02月05日12時15分","0","0","0"
"2013年02月05日12時20分","2","14","0"
"2013年02月05日12時25分","3","60","0"
"2013年02月05日12時30分","7","43","0"
"2013年02月05日12時35分","32","28","0"
"2013年02月05日12時40分","50","6","0"
"2013年02月05日12時45分","0","6","0"
"2013年02月05日12時50分","0","2","0"
"2013年02月05日12時55分","0","4","0"
"2013年02月05日13時00分","13","11","0"
"2013年02月05日13時05分","0","0","0"
"2013年02月05日13時10分","0","0","0"
"2013年02月05日13時15分","0","0","0"
"2013年02月05日13時20分","0","0","0"
"2013年02月05日13時25分","0","0","0"
"2013年02月05日13時30分","2","24","0"
"2013年02月05日13時35分","346","29","0"
"2013年02月05日13時40分","211","8","0"
"2013年02月05日13時45分","110","0","0"
"2013年02月05日13時50分","284","92","2"
"2013年02月05日13時55分","108","111","1"
"2013年02月05日14時00分","34","77","2"
"2013年02月05日14時05分","71","129","6"
"2013年02月05日14時10分","86","57","1"
"2013年02月05日14時15分","105","66","0"
"2013年02月05日14時20分","23","90","5"
"2013年02月05日14時25分","130","64","0"
"2013年02月05日14時30分","79","93","8"
"2013年02月05日14時35分","8","22","0"
"2013年02月05日14時40分","85","80","0"
"2013年02月05日14時45分","0","58","0"
"2013年02月05日14時50分","0","9","0"
"2013年02月05日14時55分","0","0","0"
"2013年02月05日15時00分","163","35","0"
"2013年02月05日15時05分","36","52","0"
"2013年02月05日15時10分","16","81","4"
"2013年02月05日15時15分","0","27","0"
"2013年02月05日15時20分","3","14","0"
"2013年02月05日15時25分","63","69","0"
"2013年02月05日15時30分","186","40","0"
"2013年02月05日15時35分","36","82","1"
"2013年02月05日15時40分","6","31","0"
"2013年02月05日15時45分","19","50","1"
"2013年02月05日15時50分","23","77","2"
"2013年02月05日15時55分","84","56","0"
"2013年02月05日16時00分","615","8","0"
"2013年02月05日16時05分","296","28","0"
"2013年02月05日16時10分","540","7","0"
"2013年02月05日16時15分","300","12","0"
"2013年02月05日16時20分","175","54","0"
"2013年02月05日16時25分","0","123","1"
"2013年02月05日16時30分","32","75","1"
"2013年02月05日16時35分","31","63","0"
"2013年02月05日16時40分","179","20","0"
"2013年02月05日16時45分","33","58","0"
"2013年02月05日16時50分","5","49","0"
"2013年02月05日16時55分","0","0","0"
"2013年02月05日17時00分","1","6","0"
"2013年02月05日17時05分","385","40","0"
