"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月06日16時25分","0","0","4","0","0","69","0","0","0","0","0"
"2013年02月06日16時30分","1","5","11","0","0","61","0","0","0","0","0"
"2013年02月06日16時35分","0","3","19","0","0","7","0","0","4","0","0"
"2013年02月06日16時40分","14","5","0","0","0","0","0","0","1","0","1"
"2013年02月06日16時45分","16","1","32","0","0","9","0","0","3","0","1"
"2013年02月06日16時50分","8","0","57","0","0","14","0","0","0","0","1"
"2013年02月06日16時55分","1","0","68","0","0","10","0","0","11","0","0"
"2013年02月06日17時00分","10","0","22","1","0","7","0","0","0","0","12"
"2013年02月06日17時05分","12","2","19","6","0","9","0","0","1","0","8"
"2013年02月07日09時05分","0","32","0","0","0","0","0","0","0","0","1"
"2013年02月07日09時10分","0","20","30","0","0","6","4","0","0","0","0"
"2013年02月07日09時15分","0","15","3","0","0","18","0","0","0","0","0"
"2013年02月07日09時20分","0","5","18","0","0","10","0","0","0","0","0"
"2013年02月07日09時25分","0","25","3","0","0","0","2","0","0","0","0"
"2013年02月07日09時30分","0","25","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時35分","0","35","1","0","0","9","0","0","0","0","0"
"2013年02月07日09時40分","0","7","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時45分","16","30","8","0","0","4","0","0","0","0","0"
"2013年02月07日09時50分","0","19","1","0","0","2","6","0","0","0","7"
"2013年02月07日09時55分","1","4","20","0","0","0","0","0","0","0","2"
"2013年02月07日10時00分","0","0","0","0","0","21","0","0","0","0","0"
"2013年02月07日10時05分","1","0","24","0","0","31","0","0","0","0","19"
"2013年02月07日10時10分","5","0","16","0","0","3","0","0","7","0","27"
"2013年02月07日10時15分","0","0","7","21","0","7","0","0","24","0","12"
"2013年02月07日10時20分","0","2","44","19","0","15","0","0","5","0","2"
"2013年02月07日10時25分","0","0","45","10","0","9","0","0","6","0","21"
"2013年02月07日10時30分","0","0","86","0","0","12","0","0","8","0","19"
"2013年02月07日10時35分","0","0","26","1","0","27","0","0","19","0","11"
"2013年02月07日10時40分","1","6","7","3","0","12","0","0","11","0","13"
