"","打鍵回数","左クリック","右クリック"
"2013年02月06日10時50分","90","4","0"
"2013年02月06日10時55分","75","17","0"
"2013年02月06日11時00分","0","17","0"
"2013年02月06日11時05分","0","0","0"
"2013年02月06日11時10分","440","1","0"
"2013年02月06日11時15分","364","28","0"
"2013年02月06日11時20分","0","5","0"
"2013年02月06日11時25分","0","6","0"
"2013年02月06日11時30分","0","0","0"
"2013年02月06日11時35分","0","2","0"
"2013年02月06日11時40分","0","0","0"
"2013年02月06日11時45分","0","0","0"
"2013年02月06日11時50分","0","0","0"
"2013年02月06日11時55分","0","0","0"
"2013年02月06日12時00分","0","0","0"
"2013年02月06日12時05分","0","0","0"
"2013年02月06日12時10分","0","0","0"
"2013年02月06日12時15分","0","0","0"
"2013年02月06日12時20分","9","11","0"
"2013年02月06日12時25分","0","2","0"
"2013年02月06日12時30分","0","14","0"
"2013年02月06日12時35分","6","9","0"
"2013年02月06日12時40分","0","6","0"
"2013年02月06日12時45分","0","0","0"
"2013年02月06日12時50分","0","0","0"
"2013年02月06日12時55分","12","35","5"
"2013年02月06日13時00分","0","0","0"
"2013年02月06日13時05分","0","5","1"
"2013年02月06日13時10分","1","6","1"
"2013年02月06日13時15分","0","0","0"
"2013年02月06日13時20分","0","0","0"
"2013年02月06日13時25分","0","0","0"
"2013年02月06日13時30分","0","0","0"
"2013年02月06日13時35分","0","0","0"
"2013年02月06日13時40分","0","0","0"
"2013年02月06日13時45分","0","0","0"
"2013年02月06日13時50分","0","0","0"
"2013年02月06日13時55分","0","0","0"
"2013年02月06日14時00分","0","0","0"
"2013年02月06日14時05分","0","0","0"
"2013年02月06日14時10分","2","10","1"
"2013年02月06日14時15分","0","0","0"
"2013年02月06日14時20分","0","0","0"
"2013年02月06日14時25分","0","0","0"
"2013年02月06日14時30分","0","0","0"
"2013年02月06日14時35分","3","0","0"
"2013年02月06日14時40分","0","0","0"
"2013年02月06日14時45分","0","14","0"
"2013年02月06日14時50分","0","0","0"
"2013年02月06日14時55分","0","0","0"
"2013年02月06日15時00分","0","0","0"
"2013年02月06日15時05分","0","0","0"
"2013年02月06日15時15分","1","0","0"
"2013年02月06日15時20分","0","0","0"
"2013年02月06日15時25分","0","0","0"
"2013年02月06日15時30分","0","0","0"
"2013年02月06日15時35分","1","5","0"
"2013年02月06日15時40分","0","2","0"
"2013年02月06日15時45分","0","5","0"
"2013年02月06日15時50分","0","0","0"
"2013年02月06日15時55分","0","2","0"
"2013年02月06日16時00分","0","1","0"
"2013年02月06日16時05分","0","4","1"
"2013年02月06日16時10分","0","13","0"
"2013年02月06日16時15分","0","0","0"
"2013年02月06日16時20分","0","0","0"
"2013年02月06日16時25分","0","0","0"
"2013年02月06日16時30分","0","0","0"
"2013年02月06日16時35分","0","0","0"
"2013年02月06日16時40分","0","0","0"
"2013年02月06日16時45分","0","0","0"
"2013年02月06日16時50分","0","0","0"
"2013年02月06日16時55分","0","0","0"
"2013年02月06日17時00分","0","0","0"
"2013年02月06日17時05分","0","0","0"
"2013年02月06日17時10分","0","0","0"
"2013年02月06日17時15分","0","0","0"
"2013年02月06日17時20分","0","0","0"
"2013年02月06日17時25分","0","0","0"
"2013年02月06日17時30分","0","0","0"
"2013年02月06日17時35分","1","5","0"
"2013年02月06日17時40分","0","12","0"
"2013年02月06日17時45分","0","0","0"
"2013年02月06日17時50分","0","10","0"
"2013年02月06日17時55分","0","0","0"
"2013年02月06日18時00分","1","4","0"
"2013年02月06日18時05分","0","0","0"
"2013年02月06日18時10分","48","8","0"
"2013年02月06日18時15分","0","0","0"
"2013年02月06日18時20分","0","0","0"
"2013年02月06日18時25分","0","0","0"
"2013年02月06日18時30分","0","0","0"
"2013年02月06日18時35分","0","0","0"
"2013年02月06日18時40分","0","0","0"
"2013年02月06日18時45分","0","0","0"
"2013年02月06日18時50分","0","0","0"
"2013年02月06日18時55分","0","0","0"
"2013年02月06日19時00分","0","0","0"
"2013年02月06日19時05分","0","0","0"
"2013年02月06日19時10分","0","0","0"
"2013年02月06日19時15分","1","3","0"
"2013年02月06日19時20分","0","0","0"
"2013年02月06日19時25分","0","0","0"
"2013年02月06日19時30分","0","24","0"
"2013年02月06日19時35分","0","0","0"
"2013年02月06日19時40分","1","10","0"
"2013年02月06日19時45分","0","0","0"
"2013年02月06日19時50分","0","12","0"
"2013年02月06日19時55分","0","0","0"
"2013年02月06日20時00分","0","0","0"
"2013年02月06日20時45分","0","0","0"
"2013年02月06日20時50分","36","26","0"
"2013年02月06日20時55分","0","1","0"
"2013年02月06日21時00分","0","0","0"
"2013年02月06日21時05分","1","3","0"
"2013年02月06日21時10分","24","35","3"
"2013年02月06日21時15分","2","14","0"
"2013年02月06日21時20分","0","7","0"
"2013年02月06日21時25分","157","57","3"
"2013年02月06日21時30分","8","14","0"
"2013年02月06日21時35分","0","0","0"
"2013年02月06日21時40分","0","0","0"
"2013年02月06日21時45分","0","2","0"
"2013年02月06日21時50分","0","0","0"
"2013年02月06日21時55分","0","0","0"
"2013年02月06日22時00分","0","3","0"
"2013年02月06日22時05分","29","27","2"
"2013年02月06日22時10分","0","22","3"
"2013年02月06日22時15分","34","10","0"
"2013年02月06日22時20分","136","31","1"
"2013年02月06日22時25分","97","39","0"
"2013年02月06日22時30分","36","80","2"
"2013年02月06日22時35分","126","86","0"
"2013年02月06日22時40分","165","43","0"
"2013年02月06日22時45分","76","27","0"
"2013年02月06日22時50分","0","6","0"
"2013年02月06日22時55分","46","8","0"
"2013年02月06日23時00分","0","173","0"
"2013年02月06日23時05分","85","29","0"
"2013年02月06日23時10分","228","27","0"
"2013年02月06日23時15分","333","51","1"
"2013年02月06日23時20分","44","39","1"
"2013年02月06日23時25分","37","82","7"
"2013年02月06日23時30分","40","44","5"
"2013年02月06日23時35分","14","32","0"
