"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日15時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時00分","0","1","0","0","0","15","0","0","0","0","0"
"2013年02月07日16時05分","0","0","0","0","0","65","0","0","0","0","2"
"2013年02月07日16時10分","0","0","0","0","0","0","2","0","0","0","0"
"2013年02月07日16時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時20分","0","0","0","0","0","0","1","0","0","0","0"
"2013年02月07日16時25分","0","0","0","0","0","0","0","0","0","0","12"
"2013年02月07日16時30分","0","0","0","0","0","0","0","0","1","0","9"
"2013年02月07日16時35分","0","5","4","0","0","0","0","0","0","0","9"
"2013年02月07日16時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時45分","0","0","0","0","0","20","1","0","0","0","0"
"2013年02月07日16時50分","0","1","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時55分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月07日17時00分","0","0","1","0","0","0","0","0","0","0","0"
"2013年02月07日17時05分","0","0","0","0","0","0","0","0","0","0","60"
"2013年02月07日17時10分","0","0","0","0","0","0","1","0","0","0","0"
"2013年02月07日17時15分","0","1","0","0","0","0","0","0","0","0","0"
"2013年02月07日17時20分","0","0","0","0","0","0","1","0","0","0","0"
"2013年02月07日17時25分","0","0","0","0","0","0","15","0","0","0","0"
"2013年02月07日17時30分","0","0","0","0","0","0","14","0","0","0","0"
"2013年02月07日17時35分","0","0","0","0","0","0","17","0","0","0","0"
"2013年02月07日17時40分","0","4","0","0","0","0","8","0","0","0","0"
"2013年02月07日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日17時55分","0","0","0","0","0","4","0","0","2","0","0"
"2013年02月07日18時00分","0","0","0","0","0","27","2","0","0","0","0"
"2013年02月07日18時05分","0","8","0","0","0","0","7","0","0","0","0"
"2013年02月07日18時10分","0","0","0","0","0","0","48","0","0","0","0"
"2013年02月07日18時15分","0","0","0","0","0","0","70","0","0","0","3"
"2013年02月07日18時20分","0","5","0","0","0","0","5","0","0","0","11"
"2013年02月07日18時25分","0","0","0","0","0","0","0","0","0","0","6"
"2013年02月07日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時00分","0","16","0","0","0","0","0","0","0","0","4"
"2013年02月08日09時05分","0","1","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時20分","0","0","0","0","0","0","0","0","0","0","0"
