"","打鍵回数","左クリック","右クリック"
"2013年02月06日16時00分","0","19","0"
"2013年02月06日16時05分","31","30","0"
"2013年02月06日16時10分","4","29","0"
"2013年02月06日16時15分","2","27","0"
"2013年02月06日16時20分","9","10","0"
"2013年02月06日16時25分","3","35","0"
"2013年02月06日16時30分","0","20","1"
"2013年02月06日16時35分","5","15","0"
"2013年02月06日16時40分","0","3","0"
"2013年02月06日16時45分","1","22","0"
"2013年02月06日16時50分","0","39","3"
"2013年02月06日16時55分","0","44","3"
"2013年02月06日17時00分","0","40","3"
"2013年02月06日17時05分","2","40","3"
"2013年02月06日17時10分","0","42","3"
"2013年02月06日17時15分","1","44","1"
"2013年02月06日17時20分","2","56","0"
"2013年02月06日17時25分","15","47","2"
"2013年02月06日17時30分","0","74","17"
"2013年02月06日17時35分","0","0","0"
"2013年02月06日17時40分","61","63","6"
"2013年02月06日17時45分","47","50","0"
"2013年02月06日17時50分","2","31","2"
"2013年02月06日17時55分","0","21","1"
"2013年02月06日18時00分","0","23","1"
"2013年02月06日18時05分","0","4","0"
"2013年02月06日18時10分","0","0","0"
"2013年02月06日18時15分","0","18","0"
"2013年02月06日18時20分","0","33","2"
"2013年02月06日18時25分","10","33","0"
"2013年02月06日18時30分","45","24","1"
"2013年02月06日18時35分","97","40","2"
"2013年02月07日09時05分","44","78","5"
"2013年02月07日09時10分","25","30","0"
"2013年02月07日09時15分","23","29","0"
"2013年02月07日09時20分","14","7","0"
"2013年02月07日09時25分","0","6","0"
"2013年02月07日09時30分","2","30","1"
"2013年02月07日09時35分","45","24","6"
"2013年02月07日09時40分","0","39","3"
"2013年02月07日09時45分","0","10","1"
"2013年02月07日09時50分","0","1","0"
"2013年02月07日09時55分","0","2","0"
"2013年02月07日10時00分","0","3","0"
"2013年02月07日10時05分","16","3","0"
"2013年02月07日10時10分","17","26","4"
"2013年02月07日10時15分","6","7","0"
"2013年02月07日10時20分","0","2","0"
"2013年02月07日10時25分","2","2","0"
"2013年02月07日10時30分","0","35","2"
"2013年02月07日10時35分","19","47","5"
"2013年02月07日10時40分","109","67","10"
"2013年02月07日10時45分","76","66","5"
"2013年02月07日10時50分","61","71","11"
"2013年02月07日10時55分","57","62","3"
"2013年02月07日11時00分","0","42","0"
"2013年02月07日11時05分","4","19","0"
"2013年02月07日11時10分","10","58","3"
"2013年02月07日11時15分","75","51","8"
"2013年02月07日11時20分","148","68","13"
"2013年02月07日11時25分","1","69","6"
"2013年02月07日11時30分","0","45","0"
"2013年02月07日11時35分","0","9","0"
"2013年02月07日11時40分","0","0","0"
"2013年02月07日11時45分","0","0","0"
"2013年02月07日11時50分","0","0","0"
"2013年02月07日11時55分","0","0","0"
"2013年02月07日12時00分","0","0","0"
"2013年02月07日12時05分","0","0","0"
"2013年02月07日12時35分","0","11","1"
"2013年02月07日12時40分","28","32","2"
"2013年02月07日12時45分","0","49","0"
"2013年02月07日12時50分","2","36","0"
"2013年02月07日12時55分","0","18","3"
