"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日18時35分","0","0","0","0","0","60","0","0","0","0","0"
"2013年02月05日18時40分","0","0","0","0","0","213","0","0","3","0","0"
"2013年02月05日18時45分","0","0","8","0","0","214","0","0","3","0","0"
"2013年02月05日18時50分","0","0","0","0","0","0","0","0","3","0","0"
"2013年02月05日18時55分","0","0","0","0","0","5","0","0","0","0","0"
"2013年02月05日19時00分","0","0","6","15","0","119","0","0","5","0","0"
"2013年02月05日19時05分","0","0","0","0","0","295","0","0","0","0","0"
"2013年02月05日19時10分","0","0","4","0","0","534","0","0","0","0","0"
"2013年02月05日19時15分","0","65","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時20分","0","92","0","16","0","0","0","0","0","0","3"
"2013年02月05日19時25分","10","0","0","0","0","35","0","0","0","0","292"
"2013年02月05日19時30分","0","0","0","0","0","19","0","0","0","0","665"
"2013年02月05日19時35分","150","0","0","0","0","67","0","0","0","0","200"
"2013年02月06日16時30分","0","2","0","0","0","22","0","0","0","0","1"
"2013年02月06日16時35分","1","0","0","0","0","13","0","0","0","0","8"
"2013年02月06日16時40分","0","0","0","0","0","4","0","0","0","0","0"
"2013年02月06日16時45分","0","0","0","0","0","6","0","0","0","0","0"
"2013年02月06日16時50分","2","0","2","0","0","0","0","0","0","0","0"
"2013年02月06日16時55分","2","0","0","0","0","0","0","0","0","0","59"
"2013年02月06日17時00分","2","0","0","0","0","9","0","0","0","0","561"
"2013年02月06日17時05分","0","0","0","0","0","8","0","0","0","0","430"
"2013年02月06日17時10分","0","0","0","0","0","0","0","0","0","0","321"
"2013年02月06日17時15分","174","0","0","0","0","131","0","0","0","0","41"
"2013年02月06日17時20分","38","0","0","0","0","57","0","0","0","0","79"
"2013年02月06日17時25分","165","0","14","0","0","105","0","0","0","0","0"
"2013年02月06日17時30分","0","0","0","0","0","22","0","0","0","0","0"
"2013年02月06日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時40分","7","2","0","0","0","9","0","0","0","0","0"
"2013年02月06日17時45分","0","0","0","0","0","2","0","0","0","0","0"
"2013年02月06日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時00分","0","0","0","0","0","2","0","0","0","0","0"
"2013年02月06日18時05分","0","0","0","0","0","57","0","0","0","0","0"
"2013年02月06日18時10分","33","0","0","0","0","15","0","0","0","0","0"
"2013年02月06日18時15分","61","0","0","0","0","25","0","0","0","0","0"
"2013年02月06日18時20分","488","0","0","0","0","2","0","0","0","0","0"
"2013年02月06日18時25分","250","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時30分","563","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時35分","3","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時45分","2","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時50分","163","6","0","0","0","27","0","0","0","0","0"
"2013年02月06日18時55分","9","0","0","0","0","160","0","0","0","0","3"
"2013年02月06日19時00分","0","0","1","0","0","385","0","0","0","0","0"
"2013年02月07日09時45分","0","0","2","0","0","31","0","0","0","0","0"
"2013年02月07日09時50分","0","0","0","0","0","90","0","0","0","0","23"
"2013年02月07日09時55分","0","0","28","0","0","0","0","0","0","0","41"
"2013年02月07日10時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時05分","251","0","0","0","0","2","0","0","0","0","0"
"2013年02月07日10時10分","21","0","16","0","0","17","0","0","0","0","0"
"2013年02月07日10時15分","1","0","0","0","0","238","0","0","0","0","72"
"2013年02月07日10時20分","83","0","0","0","0","136","0","0","0","0","0"
"2013年02月07日10時25分","504","0","0","0","0","4","0","0","0","0","18"
"2013年02月07日10時30分","83","0","0","0","0","0","0","0","0","0","10"
"2013年02月07日10時35分","54","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時40分","14","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時50分","108","0","0","0","0","34","0","0","0","0","2"
"2013年02月07日10時55分","8","0","0","0","0","479","0","0","0","0","0"
"2013年02月07日11時00分","0","0","0","0","0","87","0","0","0","0","0"
"2013年02月07日11時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時05分","0","0","0","0","0","2","0","0","0","0","0"
"2013年02月07日13時10分","104","1","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時15分","292","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時20分","373","0","0","0","0","0","0","0","0","0","4"
"2013年02月07日13時25分","215","0","0","0","0","7","0","0","0","0","2"
"2013年02月07日13時30分","194","0","2","0","0","0","0","0","0","0","2"
"2013年02月07日13時35分","170","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時40分","5","0","0","6","0","11","0","0","0","0","0"
"2013年02月07日13時45分","0","148","0","0","0","19","0","6","307","0","0"
"2013年02月07日13時50分","111","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時55分","0","0","0","0","0","52","0","0","0","0","0"
"2013年02月07日14時00分","3","0","0","52","0","71","0","0","0","0","5"
"2013年02月07日14時05分","0","0","0","239","0","262","0","0","0","0","0"
"2013年02月07日14時10分","0","0","0","0","0","192","0","0","0","0","0"
"2013年02月07日14時15分","3","0","0","0","0","21","0","0","0","0","0"
"2013年02月07日14時20分","0","0","0","0","0","101","0","0","0","0","0"
"2013年02月07日14時25分","0","0","0","0","0","123","0","0","0","0","54"
"2013年02月07日14時30分","9","0","0","0","0","8","0","0","0","0","84"
"2013年02月07日14時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時40分","1","0","0","0","0","0","0","0","0","0","93"
"2013年02月07日14時45分","3","0","0","0","0","4","0","0","0","0","129"
"2013年02月07日14時50分","8","0","0","37","0","146","0","0","0","0","14"
"2013年02月07日14時55分","546","0","0","123","0","62","0","0","0","0","0"
"2013年02月07日15時00分","101","0","0","0","0","5","0","0","0","0","0"
"2013年02月07日15時05分","38","0","0","0","0","27","0","0","0","0","0"
"2013年02月07日15時10分","0","0","0","0","0","4","0","0","0","0","0"
"2013年02月07日15時15分","0","0","0","0","0","2","0","0","0","0","0"
"2013年02月07日15時20分","255","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時25分","0","0","0","0","0","65","0","0","0","0","0"
"2013年02月07日15時30分","12","0","0","0","0","28","0","0","0","0","0"
"2013年02月07日15時35分","315","0","2","0","0","0","0","0","0","0","0"
"2013年02月07日15時40分","368","0","0","0","0","11","0","0","0","0","0"
"2013年02月07日15時45分","404","0","0","0","0","6","0","0","0","0","0"
"2013年02月07日15時50分","19","0","0","0","0","195","0","0","0","0","0"
"2013年02月07日15時55分","0","0","0","0","0","80","0","0","0","0","29"
"2013年02月07日16時00分","0","0","0","0","0","0","0","0","0","0","15"
"2013年02月07日16時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日16時10分","0","0","0","0","0","44","0","0","0","0","0"
"2013年02月07日16時15分","0","0","2","0","0","0","0","0","19","0","7"
"2013年02月07日16時20分","5","0","50","0","0","0","0","0","53","0","0"
"2013年02月07日16時25分","0","0","0","0","0","0","0","0","60","0","0"
"2013年02月07日16時30分","0","0","0","0","0","0","0","0","22","0","0"
"2013年02月07日16時35分","0","0","0","0","0","0","0","0","6","0","0"
"2013年02月07日16時40分","0","0","0","0","0","0","0","0","32","0","0"
"2013年02月07日16時45分","0","0","0","0","0","0","0","0","99","0","0"
"2013年02月07日16時50分","0","0","0","0","0","0","0","0","80","0","0"
"2013年02月07日16時55分","0","0","0","0","0","8","0","0","15","0","0"
"2013年02月07日17時00分","0","0","0","0","0","41","0","0","0","0","0"
"2013年02月07日17時05分","0","0","0","0","0","0","0","0","5","0","0"
"2013年02月07日17時10分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月07日17時15分","0","0","0","0","0","2","0","0","0","0","0"
"2013年02月07日17時20分","0","0","0","0","0","0","0","0","7","0","0"
"2013年02月07日17時25分","0","0","0","0","0","0","0","0","17","0","0"
"2013年02月07日17時30分","0","0","0","0","0","0","0","0","97","0","0"
"2013年02月07日17時35分","15","0","0","0","0","0","0","0","81","0","0"
"2013年02月07日17時40分","0","0","0","0","0","0","0","0","129","0","1"
"2013年02月07日17時45分","0","0","0","0","0","0","0","0","33","0","0"
"2013年02月07日17時50分","0","0","0","0","0","0","0","0","57","0","0"
"2013年02月07日17時55分","0","0","0","0","0","0","0","0","30","0","0"
"2013年02月07日18時00分","0","0","0","0","0","0","0","0","32","0","0"
"2013年02月07日18時05分","0","0","0","0","0","0","0","0","4","0","0"
"2013年02月07日18時10分","0","0","0","0","0","0","0","0","3","0","0"
"2013年02月07日18時15分","0","0","22","0","0","0","0","0","1","0","76"
"2013年02月07日18時20分","0","0","7","0","0","0","0","0","2","0","58"
"2013年02月07日18時25分","0","0","0","0","0","0","0","0","20","0","0"
"2013年02月07日18時30分","0","0","24","0","0","0","0","0","19","0","231"
"2013年02月07日18時35分","0","0","2","0","0","0","0","0","9","0","143"
"2013年02月07日18時40分","0","0","0","0","0","0","0","0","55","0","0"
"2013年02月07日18時45分","2","0","0","0","0","0","0","0","50","0","0"
"2013年02月07日18時50分","10","0","0","0","0","0","0","0","56","0","0"
"2013年02月07日18時55分","0","0","0","0","0","376","0","0","0","0","0"
"2013年02月07日19時00分","350","0","0","0","0","63","0","0","0","0","0"
"2013年02月07日19時05分","53","0","5","0","0","0","0","0","2","0","420"
"2013年02月08日09時05分","2","0","0","6","0","0","0","0","0","0","14"
"2013年02月08日09時10分","0","0","4","2","0","222","0","0","0","0","0"
"2013年02月08日09時15分","13","0","7","34","0","2","0","0","0","0","0"
"2013年02月08日09時20分","0","0","0","0","0","0","0","0","0","0","0"
