"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日18時35分","40","8","89","0","0","51","0","0","31","0","77"
"2013年02月06日09時55分","68","251","0","0","0","0","0","0","0","0","15"
"2013年02月06日10時10分","0","167","54","0","0","171","0","0","0","0","18"
"2013年02月06日10時15分","0","57","0","0","0","161","0","0","0","0","0"
"2013年02月06日10時20分","0","146","0","0","0","153","0","0","0","0","0"
"2013年02月06日10時25分","0","0","0","0","0","299","0","0","0","0","0"
"2013年02月06日10時30分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月06日10時35分","0","0","0","0","0","218","0","0","0","0","0"
"2013年02月06日10時40分","0","0","0","0","0","191","0","0","0","0","0"
"2013年02月06日10時45分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月06日10時50分","0","0","0","0","0","261","0","0","0","0","0"
"2013年02月06日10時55分","0","0","0","0","0","210","0","0","0","0","0"
"2013年02月06日11時00分","0","81","0","0","0","217","0","0","0","0","0"
"2013年02月06日11時05分","0","25","0","0","0","130","0","0","0","0","0"
"2013年02月06日11時10分","0","0","0","0","0","299","0","0","0","0","0"
"2013年02月06日11時15分","0","161","8","0","0","130","0","0","0","0","0"
"2013年02月06日11時20分","0","78","6","0","0","212","0","0","0","0","0"
"2013年02月06日11時25分","28","12","3","0","0","1","0","0","254","0","0"
"2013年02月06日11時30分","0","0","0","0","0","0","0","0","189","0","0"
"2013年02月06日11時35分","0","0","0","0","0","0","0","0","175","0","0"
"2013年02月06日11時40分","0","0","0","0","0","0","0","0","185","0","0"
"2013年02月06日11時45分","0","7","47","0","0","0","0","0","211","0","31"
"2013年02月06日11時50分","0","0","17","0","0","0","0","0","192","0","29"
"2013年02月06日11時55分","0","1","13","0","0","0","0","0","57","0","0"
"2013年02月06日12時00分","118","0","0","0","0","0","0","0","20","0","0"
"2013年02月06日12時05分","124","0","0","0","0","0","0","0","174","0","0"
"2013年02月06日12時10分","201","0","0","0","0","0","0","0","6","0","0"
"2013年02月06日12時15分","0","181","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時20分","147","2","8","0","0","0","0","0","138","0","1"
"2013年02月06日12時25分","205","0","0","0","0","0","0","0","5","0","0"
"2013年02月06日12時30分","1","0","0","0","0","0","0","0","74","0","0"
"2013年02月06日12時35分","0","0","3","0","0","0","0","0","92","0","182"
"2013年02月06日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時40分","16","38","0","0","0","0","0","0","145","0","1"
"2013年02月06日13時45分","148","15","0","0","0","0","0","0","135","0","0"
"2013年02月06日13時50分","167","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日13時55分","214","0","0","0","0","0","0","0","17","0","0"
"2013年02月06日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時10分","47","135","0","0","0","0","0","0","2","0","0"
"2013年02月06日14時15分","197","7","0","0","0","0","0","0","2","0","0"
"2013年02月06日14時20分","249","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時25分","163","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時30分","23","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日14時40分","1","0","0","0","0","0","0","0","141","0","0"
"2013年02月06日14時45分","0","0","0","0","0","0","0","0","165","0","0"
"2013年02月06日14時50分","80","28","2","0","0","0","0","0","167","0","1"
"2013年02月06日14時55分","0","0","26","0","0","0","0","0","273","0","0"
"2013年02月06日15時00分","173","0","21","0","0","0","0","0","85","0","0"
