"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月06日09時25分","0","0","52","0","0","0","0","0","0","0","0"
"2013年02月06日09時30分","0","0","35","4","31","0","0","0","7","0","0"
"2013年02月06日09時35分","0","0","8","0","0","0","0","0","16","0","2"
"2013年02月06日09時40分","0","0","0","0","0","0","0","0","29","0","0"
"2013年02月06日09時45分","0","0","38","0","0","0","0","0","62","0","0"
"2013年02月06日09時50分","0","0","9","2","4","0","0","0","2","0","0"
"2013年02月06日09時55分","0","0","0","36","0","0","0","0","0","0","0"
"2013年02月06日10時00分","0","6","13","250","0","0","0","0","0","0","0"
"2013年02月06日10時05分","0","0","88","2","60","0","0","0","0","0","0"
"2013年02月06日10時10分","0","0","25","14","24","0","0","0","0","0","43"
"2013年02月06日10時15分","0","0","0","0","26","66","0","0","0","0","0"
"2013年02月06日10時20分","0","0","0","55","63","125","0","0","0","0","0"
"2013年02月06日10時25分","0","0","0","0","1","172","0","0","0","0","9"
"2013年02月06日10時30分","3","0","6","0","8","109","0","0","0","0","8"
"2013年02月06日10時35分","22","0","5","7","0","0","0","0","19","0","5"
"2013年02月06日10時40分","0","0","18","0","0","0","0","0","5","0","0"
"2013年02月06日10時45分","0","0","2","0","0","0","0","0","2","0","0"
"2013年02月06日10時50分","3","0","0","0","0","100","0","0","0","0","0"
"2013年02月06日10時55分","2","0","0","0","0","0","0","0","29","0","0"
"2013年02月06日11時00分","0","0","0","0","0","0","0","0","38","0","0"
"2013年02月06日11時05分","2","0","5","0","0","0","0","0","9","0","0"
"2013年02月06日11時10分","0","0","0","0","0","0","0","0","6","0","0"
"2013年02月06日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日11時20分","0","0","61","0","0","0","0","0","39","0","0"
"2013年02月06日11時25分","0","0","7","273","0","25","0","0","0","0","0"
"2013年02月06日11時30分","0","5","10","269","0","53","0","0","0","0","0"
"2013年02月06日11時35分","0","0","2","2","0","5","0","0","5","0","0"
"2013年02月06日11時40分","0","0","35","17","24","0","0","0","7","0","0"
"2013年02月06日11時45分","0","0","28","8","27","0","0","0","1","0","0"
"2013年02月06日11時50分","0","0","0","4","1","0","0","0","0","0","0"
"2013年02月06日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日12時00分","0","0","0","63","16","0","0","0","0","0","0"
