"","ブラウザ - 右クリック","メール - 右クリック","ファイル操作 - 右クリック","調査　 - 右クリック","ＳＱＬサーバ　 - 右クリック","エクセル - 右クリック","ワード・パワポ - 右クリック","文書閲覧　 - 右クリック","テスト　 - 右クリック","プログラミング・デバッグ - 右クリック","登録外 - 右クリック"
"2013年02月06日16時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時45分","0","0","2","0","0","0","0","0","0","0","0"
"2013年02月06日16時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時00分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月06日17時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時50分","1","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時30分","0","0","2","0","0","0","0","0","0","0","0"
"2013年02月06日18時35分","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月06日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時50分","0","3","0","0","0","0","0","0","0","0","2"
"2013年02月06日18時55分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月06日19時00分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月06日19時05分","0","0","0","0","2","1","0","0","3","0","0"
"2013年02月06日19時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日19時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日19時20分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月06日19時25分","0","0","0","0","1","0","0","0","1","0","0"
"2013年02月06日19時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日19時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日19時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日19時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日19時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日19時55分","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月06日20時00分","0","0","1","0","0","5","0","0","0","0","0"
"2013年02月06日20時05分","0","0","1","0","0","14","0","0","0","0","0"
"2013年02月06日20時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日20時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日20時20分","0","0","1","0","1","0","0","0","0","0","0"
"2013年02月06日20時25分","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月06日20時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日20時35分","0","1","1","0","0","0","0","0","3","0","0"
"2013年02月06日20時40分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月06日20時45分","0","0","0","0","0","0","0","0","3","0","0"
"2013年02月06日20時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日20時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日22時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日22時05分","0","3","0","0","0","0","0","0","0","0","1"
"2013年02月06日22時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日22時15分","0","0","1","0","0","0","0","0","0","2","0"
"2013年02月06日22時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日22時25分","0","0","0","0","0","0","0","0","0","1","0"
"2013年02月06日22時30分","0","0","0","0","0","0","0","0","0","2","0"
"2013年02月06日22時35分","0","0","0","0","0","0","0","0","0","5","0"
"2013年02月06日22時40分","0","0","0","0","0","0","0","0","0","3","0"
"2013年02月06日22時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日22時50分","0","0","0","0","0","0","0","0","0","2","0"
"2013年02月06日22時55分","0","0","1","0","0","0","0","0","0","6","0"
"2013年02月06日23時00分","0","0","5","0","0","0","0","0","0","0","0"
"2013年02月06日23時05分","0","0","0","0","0","0","0","0","0","1","0"
"2013年02月06日23時10分","0","0","0","0","0","0","0","0","0","4","0"
"2013年02月06日23時15分","0","0","0","0","0","0","0","0","0","7","0"
"2013年02月06日23時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日23時25分","0","0","0","0","0","0","0","0","0","1","0"
"2013年02月07日09時05分","0","0","0","0","0","0","0","0","0","0","0"
