"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月06日16時25分","2","0","0","166","25","0","0","0","0","0","0"
"2013年02月06日16時30分","0","0","2","67","7","0","0","0","0","0","0"
"2013年02月06日16時35分","0","0","21","15","1","3","0","0","0","0","0"
"2013年02月06日16時40分","0","0","15","13","0","1","0","0","0","0","0"
"2013年02月06日16時45分","2","0","30","23","3","4","0","0","0","3","0"
"2013年02月06日16時50分","0","0","1","143","8","0","0","0","3","0","0"
"2013年02月06日16時55分","0","0","0","26","29","0","0","0","0","0","3"
"2013年02月06日17時00分","0","0","2","1","15","0","0","0","0","0","28"
"2013年02月06日17時05分","0","0","2","43","33","0","0","0","1","0","6"
"2013年02月06日17時10分","0","0","2","63","0","0","0","0","1","0","12"
"2013年02月06日17時15分","4","0","1","53","0","0","0","0","9","0","14"
"2013年02月06日17時20分","7","0","0","23","61","0","0","0","2","0","19"
"2013年02月06日17時25分","0","0","3","79","0","0","0","0","4","0","0"
"2013年02月06日17時30分","0","0","1","29","0","0","0","0","4","0","0"
"2013年02月06日17時35分","0","0","28","33","0","0","0","0","0","0","0"
"2013年02月06日17時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時45分","0","0","4","5","0","0","0","0","0","0","0"
"2013年02月06日17時50分","8","0","0","26","13","0","0","0","4","0","0"
"2013年02月06日17時55分","0","0","0","67","0","0","0","0","0","0","0"
"2013年02月06日18時00分","1","0","5","55","10","0","0","0","5","0","2"
"2013年02月06日18時05分","13","0","1","0","3","0","0","0","2","0","0"
"2013年02月06日18時10分","15","0","0","0","20","0","0","0","0","0","0"
"2013年02月06日18時15分","4","0","41","13","1","0","0","0","6","0","0"
"2013年02月06日18時20分","7","0","45","28","0","0","0","0","2","0","0"
"2013年02月06日18時25分","3","0","0","14","0","0","0","0","0","0","0"
"2013年02月06日18時30分","10","0","10","11","0","0","0","0","1","0","0"
"2013年02月06日18時35分","0","0","26","38","10","0","0","0","0","0","0"
"2013年02月06日18時40分","0","0","12","34","4","0","0","0","0","0","0"
"2013年02月06日18時45分","8","9","5","32","0","31","0","0","9","0","0"
"2013年02月06日18時50分","0","23","3","0","0","36","0","3","12","0","3"
"2013年02月06日18時55分","9","7","2","0","0","31","0","4","53","0","1"
"2013年02月06日19時00分","4","0","13","0","0","19","0","0","56","0","0"
"2013年02月06日19時05分","0","0","2","0","4","27","0","0","75","0","0"
"2013年02月06日19時10分","18","0","0","0","29","11","0","0","27","0","0"
"2013年02月06日19時15分","19","0","9","0","1","0","0","0","0","0","0"
"2013年02月06日19時20分","0","0","1","0","1","0","0","0","44","0","0"
"2013年02月06日19時25分","0","0","1","1","13","0","0","0","50","0","0"
"2013年02月06日19時30分","0","0","0","6","12","0","0","0","12","0","0"
"2013年02月06日19時35分","0","0","2","0","20","0","0","0","18","0","0"
"2013年02月06日19時40分","0","0","1","50","9","0","0","0","0","0","0"
"2013年02月06日19時45分","0","0","0","6","0","0","0","0","0","0","0"
"2013年02月06日19時50分","0","5","26","14","0","21","0","0","0","0","0"
"2013年02月06日19時55分","0","2","100","18","25","7","0","1","2","0","1"
"2013年02月06日20時00分","0","0","86","16","12","54","0","0","5","0","0"
"2013年02月06日20時05分","0","0","32","19","12","94","0","0","8","0","0"
"2013年02月06日20時10分","0","0","0","30","11","0","0","0","0","0","0"
"2013年02月06日20時15分","0","0","0","23","41","0","0","0","4","0","0"
"2013年02月06日20時20分","0","0","28","13","16","0","0","0","0","0","4"
"2013年02月06日20時25分","0","0","7","5","48","0","0","0","0","0","0"
"2013年02月06日20時30分","0","2","0","2","89","0","0","0","0","0","0"
"2013年02月06日20時35分","0","18","9","12","21","0","0","0","18","0","0"
"2013年02月06日20時40分","0","1","3","8","37","0","0","0","22","0","0"
"2013年02月06日20時45分","0","0","1","7","0","0","0","0","19","0","0"
"2013年02月06日20時50分","0","0","8","32","17","10","0","0","10","0","7"
"2013年02月06日20時55分","0","0","0","0","0","0","0","0","122","0","0"
"2013年02月06日21時00分","0","0","0","0","0","0","0","0","16","0","0"
"2013年02月06日21時05分","0","0","0","0","0","0","0","0","29","0","0"
"2013年02月06日21時10分","0","0","0","0","0","0","0","0","6","0","0"
"2013年02月06日21時15分","0","0","21","12","0","0","0","0","1","0","0"
"2013年02月06日21時20分","0","0","64","44","0","13","0","0","2","0","0"
"2013年02月06日21時25分","0","24","10","13","0","0","0","0","0","0","0"
"2013年02月06日21時30分","0","0","63","9","0","0","0","0","0","0","0"
"2013年02月06日21時35分","0","6","7","8","2","0","0","0","0","0","0"
"2013年02月06日21時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日22時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日22時05分","0","46","1","0","0","0","0","0","0","0","3"
"2013年02月06日22時10分","1","3","29","15","0","0","0","0","1","2","2"
"2013年02月06日22時15分","0","0","9","13","0","0","0","0","0","60","0"
"2013年02月06日22時20分","0","0","5","23","5","0","0","0","0","70","6"
"2013年02月06日22時25分","0","0","0","0","0","0","0","0","0","75","0"
"2013年02月06日22時30分","0","0","0","0","0","0","0","0","0","36","0"
"2013年02月06日22時35分","0","0","0","0","0","0","0","0","0","70","0"
"2013年02月06日22時40分","0","3","1","0","0","0","0","0","0","46","0"
"2013年02月06日22時45分","0","0","0","0","0","0","0","0","0","40","0"
"2013年02月06日22時50分","0","0","0","1","0","0","0","0","0","42","0"
"2013年02月06日22時55分","0","0","2","2","0","0","0","0","0","84","0"
"2013年02月06日23時00分","0","0","36","17","2","0","0","0","0","1","0"
"2013年02月06日23時05分","0","0","3","2","0","0","0","0","1","30","1"
"2013年02月06日23時10分","0","0","0","0","0","0","0","0","0","88","0"
"2013年02月06日23時15分","0","0","0","0","0","0","0","0","0","86","0"
"2013年02月06日23時20分","0","0","0","0","0","0","0","0","0","33","1"
"2013年02月06日23時25分","1","0","12","7","15","0","0","0","1","12","0"
"2013年02月07日09時05分","0","0","0","0","0","0","0","0","0","0","0"
