User,WorkingHour_SECOND,WorkingHour_MINUTE
fg,121897,2031
ht,206055,3434
iu,154049,2567
kt,95690,1594
lu,106260,1771
Mk,132579,2209
nm,106836,1780
si,80118,1335
sk,163272,2721
so,238557,3975
std,170406,2840
sty,119063,1984
yg,119203,1986
