Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
FileOperation,20130208:113338,20130208:113407,0,0,0
Other,20130208:113407,20130208:113428,0,0,0
Other,20130208:113428,20130208:113433,0,0,0
Excel,20130208:113433,20130208:113440,0,0,0
Other,20130208:113441,20130208:113502,0,0,0
Other,20130208:113502,20130208:113506,0,0,0
Other,20130208:113506,20130208:113514,0,0,0
Other,20130208:113514,20130208:113524,0,0,0
Other,20130208:113524,20130208:113601,0,0,0
Browser,20130208:113601,20130208:113611,0,0,3
Browser,20130208:113611,20130208:113613,0,0,0
Browser,20130208:113613,20130208:113616,0,0,0
Browser,20130208:113616,20130208:113627,0,0,0
Other,20130208:113627,20130208:113628,0,0,0
Other,20130208:113628,20130208:113630,0,0,0
FileOperation,20130208:113630,20130208:113631,0,0,0
Other,20130208:113631,20130208:113655,0,0,0
Other,20130208:113655,20130208:113656,0,0,0
Testing,20130208:113656,20130208:113657,0,0,0
Testing,20130208:113657,20130208:113702,0,0,2
Other,20130208:113702,20130208:113720,0,0,0
Other,20130208:113720,20130208:113818,0,0,0
Browser,20130208:113818,20130208:113848,0,0,0
Browser,20130208:113848,20130208:113909,0,0,0
Other,20130208:113909,20130208:113912,0,0,0
Other,20130208:113912,20130208:114000,0,0,0
Browser,20130208:114350,20130208:114407,0,0,14
Browser,20130208:114407,20130208:114423,0,0,2
FileOperation,20130208:114423,20130208:114426,0,0,1
FileOperation,20130208:114426,20130208:114427,0,0,0
FileOperation,20130208:114427,20130208:114429,0,0,0
FileOperation,20130208:114429,20130208:114443,0,0,0
FileOperation,20130208:114443,20130208:114445,0,0,0
FileOperation,20130208:114445,20130208:114446,0,0,0
FileOperation,20130208:114446,20130208:114448,0,0,0
FileOperation,20130208:114448,20130208:114449,0,0,0
FileOperation,20130208:114449,20130208:114456,0,0,0
FileOperation,20130208:114456,20130208:114459,0,0,0
FileOperation,20130208:114459,20130208:114502,0,0,0
FileOperation,20130208:114502,20130208:114524,0,0,0
Other,20130208:114525,20130208:114531,0,0,0
FileOperation,20130208:114531,20130208:114659,0,0,0
Other,20130208:114659,20130208:114705,0,0,0
FileOperation,20130208:114705,20130208:114707,0,0,0
FileOperation,20130208:114707,20130208:114714,0,0,0
FileOperation,20130208:114714,20130208:114718,0,0,0
FileOperation,20130208:114718,20130208:114723,0,0,0
Other,20130208:115006,20130208:115007,0,0,2
Testing,20130208:115007,20130208:115329,0,0,2
Browser,20130208:115329,20130208:115336,0,0,1
Testing,20130208:115336,20130208:115343,0,0,0
Browser,20130208:115343,20130208:115411,0,0,0
Browser,20130208:115411,20130208:115423,0,0,0
Browser,20130208:115423,20130208:115428,0,0,0
Browser,20130208:115428,20130208:115503,0,0,0
Browser,20130208:115503,20130208:115528,0,0,0
FileOperation,20130208:115528,20130208:115530,0,0,0
FileOperation,20130208:115530,20130208:115532,0,0,0
FileOperation,20130208:115532,20130208:115533,0,0,0
FileOperation,20130208:115533,20130208:115534,0,0,0
FileOperation,20130208:115534,20130208:115535,0,0,0
FileOperation,20130208:115535,20130208:115536,0,0,0
FileOperation,20130208:115536,20130208:115537,0,0,0
FileOperation,20130208:115537,20130208:115540,0,0,0
FileOperation,20130208:115540,20130208:115541,0,0,0
FileOperation,20130208:115541,20130208:115543,0,0,0
Browser,20130208:115543,20130208:115546,0,0,0
FileOperation,20130208:115546,20130208:115548,0,0,0
FileOperation,20130208:115548,20130208:115549,0,0,0
FileOperation,20130208:115549,20130208:115550,0,0,0
FileOperation,20130208:115550,20130208:115558,0,0,0
FileOperation,20130208:115558,20130208:115559,0,0,0
FileOperation,20130208:115559,20130208:115601,0,0,0
FileOperation,20130208:115601,20130208:115602,0,0,0
FileOperation,20130208:115602,20130208:115605,0,0,0
FileOperation,20130208:115605,20130208:115607,0,0,0
FileOperation,20130208:115607,20130208:115614,0,0,0
Other,20130208:115614,20130208:115623,0,0,0
Other,20130208:115623,20130208:115629,0,0,0
Browser,20130208:115629,20130208:115633,0,0,0
FileOperation,20130208:115633,20130208:115636,0,0,0
Other,20130208:115654,20130208:115657,0,0,3
Testing,20130208:115657,20130208:115917,0,0,6
Other,20130208:115917,20130208:115918,0,0,1
Testing,20130208:115918,20130208:115955,0,0,0
FileOperation,20130208:115955,20130208:120003,0,0,0
FileOperation,20130208:120003,20130208:120015,0,0,0
Email,20130208:120015,20130208:120017,0,0,0
Email,20130208:120017,20130208:120021,0,0,0
Email,20130208:120021,20130208:120027,0,0,0
Email,20130208:120027,20130208:120033,0,0,5
Email,20130208:120033,20130208:120034,0,0,3
Email,20130208:120034,20130208:120035,0,0,1
Email,20130208:120035,20130208:120036,0,0,4
Email,20130208:120036,20130208:120037,0,0,2
Email,20130208:120037,20130208:120039,0,0,5
Email,20130208:120039,20130208:120040,0,0,6
Email,20130208:120040,20130208:120041,0,0,6
Email,20130208:120041,20130208:120042,0,0,1
Email,20130208:120042,20130208:120043,0,0,4
Email,20130208:120043,20130208:120044,0,0,6
Email,20130208:120044,20130208:120045,0,0,4
Email,20130208:120045,20130208:120046,0,0,6
Email,20130208:120046,20130208:120047,0,0,5
Email,20130208:120047,20130208:120048,0,0,4
Email,20130208:120048,20130208:120049,0,0,2
Email,20130208:120049,20130208:120050,0,0,6
Email,20130208:120050,20130208:120503,0,0,403
Email,20130208:120503,20130208:120510,0,0,3
FileOperation,20130208:120510,20130208:120515,0,0,0
Other,20130208:120515,20130208:120523,0,0,2
Email,20130208:120523,20130208:121003,0,0,459
Email,20130208:121003,20130208:121226,0,0,140
Other,20130208:121227,20130208:121228,0,0,0
Email,20130208:121228,20130208:121234,0,0,0
Testing,20130208:121234,20130208:121304,0,0,2
