"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月08日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時30分","0","67","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時35分","9","265","15","0","0","0","0","0","6","0","2"
"2013年02月08日18時40分","0","220","5","0","0","0","0","0","69","0","0"
"2013年02月08日18時45分","0","300","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時50分","0","300","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時55分","0","136","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時15分","0","135","23","0","0","0","55","0","0","0","0"
"2013年02月08日19時20分","0","19","14","0","0","0","169","0","0","0","0"
"2013年02月08日19時25分","0","0","11","0","0","0","288","0","0","0","0"
"2013年02月08日19時30分","0","0","14","0","0","0","278","0","0","0","0"
"2013年02月08日19時35分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月08日19時40分","0","0","4","0","0","0","296","0","0","0","0"
"2013年02月08日19時45分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月08日19時50分","0","0","0","0","0","0","300","0","0","0","0"
"2013年02月08日19時55分","0","0","3","0","0","0","295","0","0","0","0"
"2013年02月08日20時00分","25","189","8","0","0","0","0","0","0","0","0"
"2013年02月08日20時05分","34","30","50","0","0","0","0","0","0","0","0"
"2013年02月08日20時10分","0","0","175","0","0","0","0","0","22","0","97"
"2013年02月08日20時15分","0","6","67","5","0","0","0","0","216","0","3"
"2013年02月08日20時20分","0","0","119","77","0","29","0","0","11","0","59"
"2013年02月08日20時25分","0","0","0","220","0","59","0","0","0","0","17"
"2013年02月08日20時30分","0","0","49","115","0","44","0","0","85","0","0"
"2013年02月08日20時35分","0","80","68","18","0","10","0","0","31","0","89"
"2013年02月08日20時40分","0","7","28","0","0","137","0","0","126","0","0"
"2013年02月08日20時45分","0","0","0","223","0","69","0","0","4","0","0"
"2013年02月08日20時50分","0","0","5","107","0","141","0","0","0","0","41"
"2013年02月08日20時55分","0","0","0","0","0","155","0","0","0","0","142"
"2013年02月08日21時00分","0","0","0","0","0","228","0","0","0","0","69"
"2013年02月08日21時05分","0","0","0","0","0","191","0","0","0","0","105"
"2013年02月12日09時00分","157","161","0","0","0","0","0","0","0","0","19"
"2013年02月12日09時05分","104","18","19","0","0","159","0","0","0","0","0"
"2013年02月12日09時10分","201","35","26","0","0","34","0","0","0","0","0"
"2013年02月12日09時15分","166","17","76","0","0","8","0","0","0","0","30"
"2013年02月12日09時20分","0","22","13","0","0","0","48","0","149","0","65"
"2013年02月12日09時25分","54","0","17","0","0","0","55","0","172","0","0"
"2013年02月12日09時30分","0","0","0","0","0","0","0","0","273","0","0"
"2013年02月12日09時35分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月12日09時40分","0","0","9","0","0","35","0","0","255","0","0"
"2013年02月12日09時45分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月12日09時50分","0","0","0","0","0","0","0","0","209","0","0"
"2013年02月12日09時55分","0","0","61","0","0","0","0","0","13","0","0"
"2013年02月12日10時00分","0","0","238","0","0","0","0","23","36","0","0"
"2013年02月12日10時05分","0","0","17","0","0","0","0","0","282","0","0"
"2013年02月12日10時10分","0","0","7","0","0","74","0","0","217","0","0"
"2013年02月12日10時15分","4","12","35","0","0","38","0","0","206","0","2"
"2013年02月12日10時20分","0","0","0","0","0","54","0","0","244","0","0"
"2013年02月12日10時25分","0","0","0","0","0","9","0","0","290","0","0"
"2013年02月12日10時30分","0","0","0","0","0","47","0","0","251","0","0"
"2013年02月12日10時35分","0","0","0","0","0","0","0","0","191","0","0"
"2013年02月12日10時40分","128","0","4","0","0","0","0","0","122","0","22"
"2013年02月12日10時45分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月12日10時50分","0","0","36","0","0","8","0","0","244","0","2"
"2013年02月12日10時55分","38","145","23","0","0","34","0","0","52","0","4"
"2013年02月12日11時00分","163","134","0","0","0","0","0","0","0","0","0"
"2013年02月12日11時05分","202","94","0","0","0","0","0","0","0","0","0"
"2013年02月12日11時10分","93","27","1","0","0","0","0","0","176","0","0"
"2013年02月12日11時15分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月12日11時20分","51","0","0","0","0","0","0","0","247","0","0"
"2013年02月12日11時25分","0","0","0","0","0","0","0","0","256","0","0"
"2013年02月12日11時30分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月12日11時35分","13","11","13","0","0","0","0","0","262","0","0"
"2013年02月12日11時40分","0","0","16","0","0","181","0","0","98","0","1"
"2013年02月12日11時45分","114","74","0","0","0","20","0","0","89","0","0"
"2013年02月12日11時50分","71","49","35","0","0","140","0","0","0","0","0"
"2013年02月12日11時55分","0","7","5","0","0","93","0","0","175","0","16"
"2013年02月12日12時00分","0","0","2","0","0","53","0","0","146","0","94"
"2013年02月12日12時05分","30","0","4","0","0","7","0","0","0","0","256"
"2013年02月12日12時10分","0","0","0","0","0","6","0","0","64","0","227"
"2013年02月12日12時15分","0","0","0","0","0","11","0","0","0","0","285"
"2013年02月12日12時20分","81","0","0","0","0","127","0","0","0","0","88"
"2013年02月12日12時25分","279","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日12時30分","155","34","0","0","0","14","0","0","0","0","0"
"2013年02月12日12時35分","222","67","0","0","0","7","0","0","0","0","0"
"2013年02月12日12時40分","232","0","18","0","0","47","0","0","0","0","0"
"2013年02月12日12時45分","0","0","174","0","0","0","0","0","0","0","0"
"2013年02月12日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日13時55分","0","0","0","0","0","0","0","0","266","0","0"
"2013年02月12日14時00分","0","0","0","0","0","0","0","0","295","0","0"
"2013年02月12日14時05分","0","39","0","0","0","1","0","0","46","0","0"
"2013年02月12日14時10分","0","39","84","9","0","4","0","0","55","0","105"
"2013年02月12日14時15分","0","0","192","9","0","0","0","0","96","0","0"
"2013年02月12日14時20分","0","0","15","0","0","0","0","0","0","0","0"
"2013年02月12日14時25分","164","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時30分","262","34","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時35分","269","28","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時40分","125","171","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時45分","296","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時50分","286","6","4","0","0","0","0","0","0","0","0"
"2013年02月12日14時55分","127","171","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時00分","192","58","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時05分","37","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時10分","277","21","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時15分","256","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時20分","290","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時25分","104","54","15","0","0","13","0","0","93","0","16"
"2013年02月12日15時30分","202","95","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時35分","298","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日15時40分","189","76","7","0","0","0","0","0","0","0","26"
