Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
Database,20130205:124204,20130205:124207,1,0,0
Browser,20130205:124207,20130205:124226,3,0,0
Browser,20130205:124226,20130205:124230,1,0,0
Database,20130205:124230,20130205:124231,1,0,0
Browser,20130205:124231,20130205:124233,1,0,0
Database,20130205:124233,20130205:124247,1,0,0
Email,20130205:124247,20130205:124248,1,0,0
Database,20130205:124248,20130205:124250,1,0,0
Email,20130205:124250,20130205:124252,1,0,0
Other,20130205:124252,20130205:124255,1,0,0
Email,20130205:124255,20130205:124258,1,0,0
Excel,20130205:124258,20130205:124300,1,0,0
FileOperation,20130205:124301,20130205:124302,0,0,1
Other,20130205:124302,20130205:124311,7,0,0
Email,20130205:124311,20130205:124313,1,0,0
Database,20130205:124313,20130205:124315,1,0,0
Excel,20130205:124315,20130205:124336,2,0,0
Browser,20130205:124336,20130205:124344,0,0,7
Browser,20130205:124344,20130205:124352,0,0,2
Other,20130205:124352,20130205:124354,1,0,0
FileOperation,20130205:124354,20130205:124355,1,0,0
FileOperation,20130205:124355,20130205:124356,2,0,0
Excel,20130205:124356,20130205:124409,1,0,0
Excel,20130205:124409,20130205:124411,1,0,0
Browser,20130205:124411,20130205:124413,1,0,0
Browser,20130205:124413,20130205:124433,1,0,0
Browser,20130205:124433,20130205:124442,1,0,0
Browser,20130205:124442,20130205:124443,1,0,0
Browser,20130205:124443,20130205:124451,1,0,0
Browser,20130205:124451,20130205:124452,1,0,0
Browser,20130205:124452,20130205:124453,0,0,0
Browser,20130205:124453,20130205:124501,1,0,0
Browser,20130205:124501,20130205:124503,1,0,0
Browser,20130205:124503,20130205:124504,0,0,0
Browser,20130205:124504,20130205:124508,1,0,0
Browser,20130205:124508,20130205:124512,1,0,0
Browser,20130205:124512,20130205:124535,3,0,0
Browser,20130205:124535,20130205:124542,1,0,9
Browser,20130205:124542,20130205:124601,2,0,0
Browser,20130205:124601,20130205:124603,1,0,0
Excel,20130205:124603,20130205:124638,2,0,0
Other,20130205:124639,20130205:124644,2,0,0
Browser,20130205:124645,20130205:124659,0,0,44
Browser,20130205:124659,20130205:124708,1,0,0
Browser,20130205:124708,20130205:124725,1,0,0
Browser,20130205:124725,20130205:124736,2,0,0
Browser,20130205:124736,20130205:124737,1,0,0
Browser,20130205:124737,20130205:124754,2,0,0
Browser,20130205:124754,20130205:124803,1,0,0
Browser,20130205:124803,20130205:124805,1,0,0
Browser,20130205:124805,20130205:124807,1,0,0
Browser,20130205:124807,20130205:124821,2,0,0
Browser,20130205:124821,20130205:124828,1,0,0
Browser,20130205:124828,20130205:124830,1,0,0
Other,20130205:124830,20130205:124836,1,0,0
Excel,20130205:124836,20130205:124900,2,0,0
Testing,20130205:124900,20130205:124901,1,0,0
Database,20130205:124901,20130205:124906,1,0,0
Other,20130205:124907,20130205:124922,0,0,43
Other,20130205:124922,20130205:124937,0,0,0
Other,20130205:124937,20130205:124944,0,0,25
Other,20130205:124944,20130205:124947,0,0,0
Other,20130205:124947,20130205:124950,1,0,0
FileOperation,20130205:124950,20130205:124958,0,1,0
Testing,20130205:124958,20130205:125003,0,0,0
Testing,20130205:125003,20130205:125005,0,0,0
Testing,20130205:125005,20130205:125006,0,0,0
Testing,20130205:125006,20130205:125024,0,0,2
