Task name,start time,end time,left click,right click,keystroke
Excel,20130204:100425,20130204:100428,0,0,2
file operation,20130204:100428,20130204:100430,0,0,0
file operation,20130204:100430,20130204:100432,0,0,0
file operation,20130204:100432,20130204:100434,0,0,0
file operation,20130204:100434,20130204:100437,0,0,2
file operation,20130204:100437,20130204:100438,0,0,0
file operation,20130204:100438,20130204:100440,0,0,0
file operation,20130204:100440,20130204:100443,0,0,0
file operation,20130204:100443,20130204:100458,0,0,0
others,20130204:100458,20130204:100502,0,0,8
others,20130204:100502,20130204:100503,0,0,0
file operation,20130204:100503,20130204:100504,0,0,0
others,20130204:100504,20130204:100519,0,0,0
others,20130204:100519,20130204:100524,0,0,0
others,20130204:100524,20130204:100551,0,0,0
others,20130204:100551,20130204:100553,0,0,0
others,20130204:100553,20130204:100555,0,0,0
email,20130204:100555,20130204:100653,0,0,0
others,20130204:100653,20130204:100700,0,0,0
others,20130204:100700,20130204:100701,0,0,0
others,20130204:100701,20130204:100702,0,0,0
email,20130204:100702,20130204:100703,0,0,0
email,20130204:100703,20130204:100709,0,0,2
others,20130204:100709,20130204:100718,0,0,0
others,20130204:100718,20130204:100722,0,0,4
others,20130204:100722,20130204:100724,0,0,0
others,20130204:100724,20130204:100731,0,0,0
Excel,20130204:100731,20130204:100733,0,0,0
others,20130204:100733,20130204:100747,0,0,0
Excel,20130204:100747,20130204:100819,0,0,0
others,20130204:100819,20130204:100827,0,0,0
others,20130204:100827,20130204:100831,0,0,0
others,20130204:100831,20130204:100848,0,0,0
file operation,20130204:100848,20130204:100850,0,0,0
others,20130204:100850,20130204:100852,0,0,0
file operation,20130204:100852,20130204:100854,0,0,0
others,20130204:100854,20130204:100856,0,0,0
email,20130204:100856,20130204:100903,0,0,0
others,20130204:100903,20130204:100905,0,0,0
email,20130204:100905,20130204:100906,0,0,0
others,20130204:100906,20130204:100908,0,0,1
others,20130204:100908,20130204:100932,0,0,27
others,20130204:100932,20130204:100934,0,0,0
others,20130204:100934,20130204:100937,0,0,0
email,20130204:100937,20130204:100939,0,0,0
others,20130204:100939,20130204:100945,0,0,0
email,20130204:100945,20130204:100951,0,0,0
others,20130204:100951,20130204:101002,0,0,0
others,20130204:101002,20130204:101005,0,0,0
others,20130204:101005,20130204:101007,0,0,0
others,20130204:101007,20130204:101023,0,0,2
others,20130204:101023,20130204:101037,0,0,0
others,20130204:101037,20130204:101046,0,0,0
Excel,20130204:101046,20130204:101100,0,0,0
others,20130204:101100,20130204:101107,0,0,0
browsing,20130204:101107,20130204:101147,0,0,0
browsing,20130204:101147,20130204:101151,0,0,0
others,20130204:101151,20130204:101156,0,0,2
file operation,20130204:101156,20130204:101201,0,0,0
file operation,20130204:101201,20130204:101202,0,0,0
others,20130204:101202,20130204:101203,0,0,0
others,20130204:101203,20130204:101204,0,0,0
others,20130204:101204,20130204:101211,0,0,0
others,20130204:101211,20130204:101222,0,0,0
file operation,20130204:101222,20130204:101228,0,0,0
file operation,20130204:101228,20130204:101230,0,0,0
file operation,20130204:101230,20130204:101231,0,0,0
file operation,20130204:101231,20130204:101241,0,0,0
