"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日19時00分","0","0","5","0","0","14","0","0","0","0","280"
"2013年02月05日19時05分","0","0","25","0","0","0","0","0","5","0","210"
"2013年02月05日19時10分","0","0","11","0","0","0","0","0","160","0","123"
"2013年02月05日19時15分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月05日19時20分","0","0","0","0","0","0","0","0","0","0","237"
"2013年02月05日19時25分","0","0","0","0","0","0","0","0","0","0","249"
"2013年02月05日19時30分","0","0","0","0","0","0","0","0","33","0","263"
"2013年02月05日19時35分","0","0","3","0","0","0","0","0","0","0","294"
"2013年02月05日19時40分","0","0","0","0","0","0","0","0","25","0","273"
"2013年02月05日19時45分","0","0","0","0","0","0","0","0","174","0","122"
"2013年02月05日19時50分","0","0","5","0","0","18","0","0","77","0","196"
"2013年02月05日19時55分","0","0","0","0","0","0","0","0","34","0","262"
"2013年02月05日20時00分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月05日20時05分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月05日20時10分","115","0","0","0","0","0","0","0","0","0","182"
"2013年02月05日20時15分","60","101","38","0","0","0","0","0","7","0","90"
"2013年02月05日20時20分","175","5","12","0","0","8","0","0","61","0","35"
"2013年02月05日20時25分","115","10","28","4","0","10","0","0","4","0","118"
"2013年02月07日09時00分","90","86","39","0","0","0","0","0","0","0","78"
"2013年02月07日09時05分","49","0","22","0","0","0","0","0","0","0","225"
"2013年02月07日09時10分","0","0","0","0","0","0","0","0","0","0","297"
"2013年02月07日09時15分","0","0","2","127","0","0","0","0","0","0","166"
"2013年02月07日09時20分","0","0","1","3","0","0","0","0","0","0","293"
"2013年02月07日09時25分","0","0","0","25","0","0","0","0","0","0","274"
"2013年02月07日09時30分","57","0","0","0","0","0","0","0","0","0","241"
"2013年02月07日09時35分","57","0","0","10","0","0","0","0","0","0","229"
"2013年02月07日09時40分","0","0","0","119","0","0","0","0","0","0","177"
"2013年02月07日09時45分","0","0","0","40","0","0","0","0","0","0","257"
"2013年02月07日09時50分","0","0","0","57","0","0","0","0","0","0","241"
"2013年02月07日09時55分","0","0","0","48","0","0","0","0","0","0","249"
"2013年02月07日10時00分","151","0","0","0","0","0","0","0","0","0","146"
"2013年02月07日10時05分","0","0","0","33","0","0","0","0","0","0","264"
"2013年02月07日10時10分","134","0","0","0","0","0","0","0","0","0","161"
"2013年02月07日10時15分","92","33","9","43","0","11","0","0","0","0","108"
"2013年02月07日10時20分","92","0","0","0","0","0","0","0","0","0","205"
"2013年02月07日10時25分","1","0","0","0","0","0","0","0","0","0","295"
"2013年02月07日10時30分","0","0","51","42","0","0","0","0","0","0","204"
"2013年02月07日10時35分","0","0","0","83","0","0","0","0","0","0","215"
"2013年02月07日10時40分","0","0","0","0","0","0","0","0","0","0","300"
