"","打鍵回数","左クリック","右クリック"
"2013年02月06日15時55分","70","0","0"
"2013年02月06日16時00分","140","0","0"
"2013年02月06日16時05分","267","0","0"
"2013年02月06日16時10分","326","0","0"
"2013年02月06日16時15分","108","0","0"
"2013年02月06日16時20分","60","0","0"
"2013年02月06日16時25分","4","0","0"
"2013年02月06日16時30分","52","0","0"
"2013年02月06日16時35分","1","0","0"
"2013年02月06日16時40分","0","0","0"
"2013年02月06日16時45分","2","0","0"
"2013年02月06日16時50分","166","0","0"
"2013年02月06日16時55分","332","0","0"
"2013年02月06日17時00分","199","0","0"
"2013年02月06日17時05分","65","0","0"
"2013年02月06日17時10分","247","0","0"
"2013年02月06日17時15分","161","0","0"
"2013年02月06日17時20分","177","0","0"
"2013年02月06日17時25分","41","0","0"
"2013年02月06日17時30分","99","0","0"
"2013年02月06日17時35分","137","0","0"
"2013年02月06日17時40分","66","0","0"
"2013年02月06日17時45分","0","0","0"
"2013年02月06日17時50分","33","0","0"
"2013年02月06日17時55分","47","0","0"
"2013年02月06日18時00分","139","0","0"
"2013年02月06日18時05分","13","0","0"
"2013年02月06日18時10分","3","0","0"
"2013年02月06日18時15分","34","0","0"
"2013年02月07日09時05分","80","61","1"
"2013年02月07日09時10分","186","56","3"
"2013年02月07日09時15分","210","0","0"
"2013年02月07日09時20分","440","0","0"
"2013年02月07日09時25分","159","0","0"
"2013年02月07日09時30分","234","0","0"
"2013年02月07日09時35分","70","0","0"
"2013年02月07日09時40分","2","0","0"
"2013年02月07日09時45分","2","0","0"
"2013年02月07日09時50分","35","0","0"
"2013年02月07日09時55分","59","0","0"
"2013年02月07日10時00分","7","0","0"
"2013年02月07日10時05分","34","0","0"
"2013年02月07日10時10分","51","0","0"
"2013年02月07日10時15分","84","0","0"
"2013年02月07日10時20分","139","0","0"
"2013年02月07日10時25分","233","0","0"
"2013年02月07日10時30分","267","0","0"
"2013年02月07日10時35分","165","0","0"
"2013年02月07日10時40分","21","0","0"
"2013年02月07日10時45分","86","0","0"
"2013年02月07日10時50分","82","0","0"
"2013年02月07日10時55分","75","0","0"
"2013年02月07日11時00分","243","0","0"
"2013年02月07日11時05分","45","0","0"
"2013年02月07日11時10分","6","0","0"
"2013年02月07日11時15分","0","0","0"
"2013年02月07日11時20分","28","0","0"
"2013年02月07日11時25分","61","0","0"
"2013年02月07日11時30分","7","0","0"
"2013年02月07日11時35分","13","0","0"
"2013年02月07日11時40分","0","0","0"
