"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月06日16時25分","0","0","0","234","12","0","0","0","0","0","0"
"2013年02月06日16時30分","0","0","0","97","0","0","0","0","0","0","0"
"2013年02月06日16時35分","0","0","2","12","0","0","0","0","0","0","0"
"2013年02月06日16時40分","0","0","0","21","0","0","0","0","0","0","0"
"2013年02月06日16時45分","0","0","28","50","0","0","0","0","0","0","0"
"2013年02月06日16時50分","0","0","0","344","1","0","0","0","0","0","0"
"2013年02月06日16時55分","0","0","0","20","21","0","0","0","0","0","0"
"2013年02月06日17時00分","0","0","0","0","118","0","0","0","0","0","9"
"2013年02月06日17時05分","0","0","0","93","57","0","0","0","1","0","0"
"2013年02月06日17時10分","0","0","0","125","0","0","0","0","0","0","15"
"2013年02月06日17時15分","42","0","0","41","0","0","0","0","0","0","11"
"2013年02月06日17時20分","5","0","0","27","47","0","0","0","0","0","14"
"2013年02月06日17時25分","0","0","0","53","0","0","0","0","0","0","0"
"2013年02月06日17時30分","0","0","4","44","0","0","0","0","25","0","0"
"2013年02月06日17時35分","0","0","3","31","0","0","0","0","0","0","0"
"2013年02月06日17時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時50分","29","0","0","84","26","0","0","0","0","0","0"
"2013年02月06日17時55分","0","0","0","468","0","0","0","0","0","0","0"
"2013年02月06日18時00分","0","0","0","217","0","0","0","0","0","0","0"
"2013年02月06日18時05分","1","0","1","0","0","0","0","0","40","0","0"
"2013年02月06日18時10分","0","0","0","0","38","0","0","0","0","0","0"
"2013年02月06日18時15分","35","0","19","13","2","0","0","0","7","0","0"
"2013年02月06日18時20分","4","0","0","62","0","0","0","0","0","0","0"
"2013年02月06日18時25分","0","0","0","3","0","0","0","0","0","0","0"
"2013年02月06日18時30分","47","0","0","7","0","0","0","0","0","0","0"
"2013年02月06日18時35分","0","0","0","133","30","0","0","0","0","0","0"
"2013年02月06日18時40分","0","0","2","224","70","0","0","0","0","0","0"
"2013年02月06日18時45分","1","0","0","185","0","0","0","0","8","0","0"
"2013年02月06日18時50分","0","2","0","0","0","0","0","15","1","0","3"
"2013年02月06日18時55分","7","0","0","0","0","66","0","0","19","0","0"
"2013年02月06日19時00分","4","0","16","0","0","66","0","0","19","0","0"
"2013年02月06日19時05分","0","0","0","0","26","31","0","0","127","0","0"
"2013年02月06日19時10分","2","0","0","0","223","6","0","0","19","0","0"
"2013年02月06日19時15分","190","0","85","0","0","0","0","0","0","0","0"
"2013年02月06日19時20分","0","0","0","0","0","0","0","0","3","0","0"
"2013年02月06日19時25分","0","0","0","0","34","0","0","0","6","0","0"
"2013年02月06日19時30分","0","0","0","3","16","0","0","0","2","0","0"
"2013年02月06日19時35分","0","0","2","0","2","0","0","0","0","0","0"
"2013年02月06日19時40分","0","0","0","306","2","0","0","0","0","0","0"
"2013年02月06日19時45分","0","0","0","370","0","0","0","0","0","0","0"
"2013年02月06日19時50分","0","0","56","71","0","0","0","0","0","0","0"
"2013年02月06日19時55分","0","0","21","1","23","0","0","0","0","0","0"
"2013年02月06日20時00分","0","0","30","18","2","33","0","0","0","0","0"
"2013年02月06日20時05分","0","0","3","9","15","42","0","0","7","0","0"
"2013年02月06日20時10分","0","0","0","475","5","0","0","0","0","0","0"
"2013年02月06日20時15分","0","0","0","30","217","0","0","0","3","0","0"
"2013年02月06日20時20分","0","0","23","0","40","0","0","0","0","0","0"
"2013年02月06日20時25分","0","0","0","2","105","0","0","0","0","0","0"
"2013年02月06日20時30分","0","0","0","0","196","0","0","0","0","0","0"
"2013年02月06日20時35分","0","10","27","47","126","0","0","0","8","0","0"
"2013年02月06日20時40分","0","0","0","2","43","0","0","0","0","0","0"
"2013年02月06日20時45分","0","0","0","2","0","0","0","0","3","0","0"
"2013年02月06日20時50分","0","0","14","78","8","3","0","0","4","0","0"
"2013年02月06日20時55分","0","0","0","0","0","0","0","0","56","0","0"
"2013年02月06日21時00分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月06日21時05分","0","0","0","0","0","0","0","0","3","0","0"
"2013年02月06日21時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時15分","0","0","0","10","0","0","0","0","0","0","0"
"2013年02月06日21時20分","0","0","2","20","0","13","0","0","0","0","0"
"2013年02月06日21時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時30分","0","0","22","0","0","0","0","0","0","0","0"
"2013年02月06日21時35分","0","1","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日21時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日22時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日22時05分","0","2","0","0","0","0","0","0","0","0","3"
"2013年02月06日22時10分","0","0","3","45","0","0","0","0","0","0","0"
"2013年02月06日22時15分","0","0","0","4","0","0","0","0","0","86","0"
"2013年02月06日22時20分","0","0","0","138","0","0","0","0","0","122","18"
"2013年02月06日22時25分","0","0","0","0","0","0","0","0","0","190","0"
"2013年02月06日22時30分","0","0","0","0","0","0","0","0","0","186","0"
"2013年02月06日22時35分","0","0","0","0","0","0","0","0","0","51","0"
"2013年02月06日22時40分","0","0","0","0","0","0","0","0","0","34","0"
"2013年02月06日22時45分","0","0","0","0","0","0","0","0","0","252","0"
"2013年02月06日22時50分","0","0","0","0","0","0","0","0","0","136","0"
"2013年02月06日22時55分","0","0","0","0","0","0","0","0","0","44","0"
"2013年02月06日23時00分","0","0","0","19","0","0","0","0","0","0","0"
"2013年02月06日23時05分","0","0","0","8","0","0","0","0","0","122","0"
"2013年02月06日23時10分","0","0","0","0","0","0","0","0","0","167","0"
"2013年02月06日23時15分","0","0","0","0","0","0","0","0","0","154","0"
"2013年02月06日23時20分","0","0","0","0","0","0","0","0","0","14","0"
"2013年02月06日23時25分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月07日09時05分","23","0","0","0","0","0","0","0","206","0","0"
"2013年02月07日09時10分","0","0","0","73","0","0","0","0","57","246","0"
"2013年02月07日09時15分","0","0","0","119","18","0","0","0","0","14","0"
"2013年02月07日09時20分","0","2","25","56","0","0","0","0","0","28","3"
"2013年02月07日09時25分","0","0","0","0","0","0","0","0","0","20","0"
"2013年02月07日09時30分","0","0","0","0","0","0","0","0","0","37","0"
"2013年02月07日09時35分","0","0","0","0","0","0","0","0","0","89","11"
"2013年02月07日09時40分","0","0","0","0","0","0","0","0","0","135","0"
"2013年02月07日09時45分","0","0","30","0","0","0","0","0","0","230","0"
"2013年02月07日09時50分","0","0","47","45","0","0","0","0","11","0","0"
"2013年02月07日09時55分","0","0","0","25","0","0","0","0","7","0","0"
"2013年02月07日10時00分","0","0","0","248","0","0","0","0","23","0","0"
"2013年02月07日10時05分","0","0","0","0","0","0","0","0","0","347","0"
"2013年02月07日10時10分","31","0","0","0","0","0","0","0","0","71","0"
