"","打鍵回数","左クリック","右クリック"
"2013年02月06日16時05分","392","0","0"
"2013年02月06日16時10分","273","0","0"
"2013年02月06日16時15分","287","0","0"
"2013年02月06日16時20分","33","0","0"
"2013年02月06日16時25分","5","0","0"
"2013年02月06日16時30分","3","0","0"
"2013年02月06日16時35分","15","0","0"
"2013年02月06日16時40分","24","0","0"
"2013年02月06日16時45分","9","0","0"
"2013年02月06日16時50分","4","0","0"
"2013年02月06日16時55分","2","0","0"
"2013年02月06日17時00分","143","0","0"
"2013年02月06日17時05分","473","0","0"
"2013年02月06日17時10分","15","0","0"
"2013年02月06日17時15分","28","0","0"
"2013年02月06日17時20分","159","0","0"
"2013年02月06日17時25分","24","0","0"
"2013年02月06日17時30分","146","0","0"
"2013年02月06日17時35分","40","0","0"
"2013年02月06日17時40分","89","0","0"
"2013年02月06日17時45分","24","0","0"
"2013年02月06日17時50分","0","0","0"
"2013年02月06日17時55分","0","0","0"
"2013年02月06日18時00分","127","0","0"
"2013年02月06日18時05分","0","0","0"
"2013年02月06日18時10分","0","0","0"
"2013年02月06日18時15分","48","0","0"
"2013年02月06日18時20分","58","0","0"
"2013年02月06日18時25分","561","0","0"
"2013年02月06日18時30分","632","0","0"
"2013年02月06日18時35分","533","0","0"
"2013年02月06日18時40分","4","0","0"
"2013年02月06日18時45分","42","0","0"
"2013年02月07日09時00分","17","0","0"
"2013年02月07日09時05分","13","0","0"
