"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月08日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日18時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日21時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日21時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日09時00分","13","5","0","0","0","0","0","0","0","0","1"
"2013年02月12日09時05分","2","2","13","0","0","1","0","0","0","0","0"
"2013年02月12日09時10分","33","1","15","0","0","11","0","0","0","0","0"
